TITLE = "1.csv"
X(mm),Y(mm),Velocity |V|(mm/s),Velocity U(mm/s),Velocity V(mm/s),Correlation Value,Flag,Rotation Tensor(rad),Peak Ratio,
I=57, J=31, K=1,
25.572,131.625,4.96822,4.96349,0.216675,0.707133,1,0.00320135,3.75598,
29.8557,131.625,8.31567,8.19184,1.42975,0.73468,1,0.00579706,3.53382,
34.1393,131.625,10.6129,10.5755,0.891113,0.811625,1,-0.000299051,3.63755,
38.423,131.625,12.0894,12.088,0.186157,0.80206,1,0.00228063,4.42689,
42.7066,131.625,13.5986,13.5934,-0.376892,0.819121,1,0.00401174,4.31267,
46.9902,131.625,13.9054,13.885,-0.752258,0.809045,1,0.00152762,4.48027,
51.2739,131.625,13.8154,13.78,-0.987244,0.79923,1,0.00131063,3.83651,
55.5575,131.625,13.8848,13.8531,-0.93689,0.82862,1,0.00275826,2.85274,
59.8411,131.625,13.7114,13.6672,-1.10016,0.882925,1,0.00164701,3.43445,
64.1248,131.625,13.5978,13.555,-1.0788,0.878193,1,0.00137445,3.3249,
68.4084,131.625,14.8613,14.8281,-0.993347,0.809504,1,0.00309669,3.41806,
72.6921,131.625,15.4327,15.3959,-1.06506,0.819852,1,0.00547175,4.05365,
76.9757,131.625,16.2537,16.2006,-1.31378,0.795542,1,0.00661487,4.54196,
81.2593,131.625,16.1704,16.0759,-1.74561,0.860473,1,0.00463241,4.61068,
85.543,131.625,16.5049,16.4123,-1.74561,0.858549,1,0.00669737,4.26244,
89.8266,131.625,17.9768,17.8472,-2.15454,0.786674,1,0.0113884,4.29144,
94.1103,131.625,18.8755,18.6868,-2.66266,0.748652,1,0.0108727,4.01663,
98.3939,131.625,18.0323,17.8513,-2.54822,0.779236,1,0.00725559,4.1822,
102.678,131.625,17.7041,17.3422,-3.5614,0.768116,1,0.0030735,3.93096,
106.961,131.625,17.0919,16.4309,-4.70734,0.69911,1,-0.00142633,3.12332,
111.245,131.625,17.6082,16.5171,-6.10199,0.700632,1,0.00110566,3.71538,
115.528,131.625,17.1667,15.2805,-7.82318,0.736466,1,-0.00190117,3.71628,
119.812,131.625,16.5138,14.3007,-8.25806,0.751856,1,-0.00173335,3.10012,
124.096,131.625,16.4141,13.7648,-8.94165,0.784249,1,-0.000611783,4.35006,
128.379,131.625,15.3816,13.1467,-7.98492,0.749342,1,0.000135625,3.97427,
132.663,131.625,14.1976,12.3107,-7.07245,0.745929,1,-0.000225086,3.92642,
136.947,131.625,12.6646,11.0288,-6.22559,0.722062,1,-0.00145084,3.57268,
141.23,131.625,13.6759,11.7672,-6.96869,0.679042,1,0.00113093,3.48271,
145.514,131.625,15.0986,12.4563,-8.53271,0.737599,1,0.00218506,4.31437,
149.798,131.625,14.3181,11.4648,-8.57697,0.786169,1,0.000396453,3.61959,
154.081,131.625,13.3755,10.3204,-8.5083,0.760732,1,-0.000455766,3.30696,
158.365,131.625,13.2771,10.4934,-8.13446,0.680742,1,-0.00231542,3.55962,
162.648,131.625,12.6061,10.4825,-7.00226,0.659668,1,-0.00129826,3.5146,
166.932,131.625,8.84963,7.58475,-4.55933,0.683577,1,-0.000893521,2.88926,
171.216,131.625,8.64803,7.8563,-3.61481,0.681196,1,-0.00143612,3.21734,
175.499,131.625,9.12811,8.74267,-2.62451,0.790447,1,0.00027763,3.37768,
179.783,131.625,9.33114,9.0728,-2.18048,0.810693,1,3.91608e-05,4.63212,
184.067,131.625,9.41413,9.31678,-1.3504,0.749952,1,-0.000808967,3.91758,
188.35,131.625,11.0681,11.007,-1.16119,0.753446,1,0.00032711,4.09985,
192.634,131.625,11.8253,11.7978,-0.80719,0.821059,1,0.0025343,4.79115,
196.918,131.625,11.5432,11.519,-0.747681,0.862056,1,0.00221477,3.67409,
201.201,131.625,11.7096,11.6844,-0.769043,0.845902,1,0.00132559,3.64164,
205.485,131.625,11.5471,11.5249,-0.715637,0.814394,1,0.000855365,4.04855,
209.769,131.625,11.3434,11.2951,-1.04523,0.837909,1,0.000795797,3.1253,
214.052,131.625,10.559,10.5146,-0.967407,0.881428,1,0.000588655,3.81997,
218.336,131.625,9.88541,9.8534,-0.794983,0.819348,1,0.00112668,4.21353,
222.619,131.625,8.13269,8.09726,-0.758362,0.803418,1,0.00160141,2.93998,
226.903,131.625,6.64793,6.60401,-0.762939,0.80208,1,-0.000163402,2.67091,
231.187,131.625,7.80932,7.79634,-0.450134,0.79801,1,-0.00160895,2.38335,
235.47,131.625,7.14463,7.14459,0.0244141,0.776421,1,-0.00211402,3.61835,
239.754,131.625,8.24399,8.24383,-0.0518799,0.797595,1,0.00109599,3.54999,
244.038,131.625,10.0826,10.0826,-0.00762939,0.797902,1,0,3.62081,
4.15383,127.341,4.64178,4.61355,-0.511169,0.764421,1,-0.000123383,2.86457,
8.43747,127.341,5.27971,5.23202,0.708008,0.811454,1,-0.00467094,3.04553,
12.7211,127.341,4.84309,4.78924,0.720215,0.827427,1,-0.00332059,2.81661,
17.0048,127.341,3.37776,3.37561,-0.120544,0.757787,1,-0.000536009,3.40527,
21.2884,127.341,3.44851,3.44612,0.128174,0.751539,1,0.00431588,3.26795,
25.572,127.341,3.60842,3.58175,0.437927,0.722883,1,0.00674,3.48588,
29.8557,127.341,5.69969,5.69472,0.238037,0.677649,1,0.0088184,3.34844,
34.1393,127.341,10.7084,10.704,0.305176,0.817562,1,0.010755,4.36317,
38.423,127.341,11.1076,11.1076,0.0244141,0.807709,1,0.00520113,4.16196,
42.7066,127.341,11.8744,11.8736,-0.132751,0.798634,1,0.00619262,3.89198,
46.9902,127.341,13.2465,13.2309,-0.643921,0.819668,1,0.00659801,3.63963,
51.2739,127.341,13.2426,13.2185,-0.798035,0.841132,1,0.00507799,4.02057,
55.5575,127.341,12.6845,12.672,-0.563049,0.830592,1,0.00356236,3.66474,
