TITLE = "150.csv"
X(mm),Y(mm),Velocity |V|(mm/s),Velocity U(mm/s),Velocity V(mm/s),Correlation Value,Flag,Rotation Tensor(rad),Peak Ratio,
I=57, J=31, K=1,
4.15383,135.908,7.25272,7.2411,-0.410461,0.769231,1,0.00266738,3.62227,
8.43747,135.908,8.05295,8.02217,-0.70343,0.760578,1,0.00291589,3.66328,
12.7211,135.908,8.8812,8.86052,-0.605774,0.77036,1,0.00299883,3.83291,
17.0048,135.908,8.73818,8.73629,-0.18158,0.753214,1,0.00339079,3.33252,
21.2884,135.908,7.60033,7.59697,0.22583,0.779524,1,0.00404781,3.74391,
25.572,135.908,6.03404,6.00231,0.617981,0.721215,1,0.00428938,4.35029,
29.8557,135.908,5.58969,5.45134,1.23596,0.70602,1,0.00537005,4.21588,
34.1393,135.908,6.67659,6.322,2.14691,0.705996,1,0.00708147,3.42052,
38.423,135.908,8.05319,7.71655,2.30408,0.715685,1,0.00708631,3.91234,
42.7066,135.908,9.84375,9.67881,1.79443,0.770764,1,0.00539738,3.38227,
46.9902,135.908,11.6307,11.5916,0.953674,0.771786,1,0.00308934,3.91288,
51.2739,135.908,12.6907,12.689,0.20752,0.800586,1,0.0012719,4.22068,
55.5575,135.908,13.2171,13.2144,-0.270081,0.828158,1,0.000242028,4.36175,
59.8411,135.908,13.5756,13.5611,-0.628662,0.821474,1,-0.00012193,4.39037,
64.1248,135.908,13.8477,13.8177,-0.91095,0.81262,1,-0.000461054,4.66648,
68.4084,135.908,14.0971,14.0406,-1.26038,0.805701,1,-0.000886461,3.55033,
72.6921,135.908,14.3768,14.2845,-1.62659,0.794093,1,-0.000655086,4.81818,
76.9757,135.908,14.6195,14.5091,-1.79291,0.775631,1,0.000136983,4.09335,
81.2593,135.908,15.1117,15.0049,-1.79291,0.77291,1,0.00110795,4.5585,
85.543,135.908,15.7471,15.6421,-1.8158,0.799058,1,0.00212419,3.58417,
89.8266,135.908,16.2471,16.1235,-2.00043,0.768232,1,0.00257805,4.63047,
94.1103,135.908,16.7337,16.572,-2.32086,0.750305,1,0.00255801,3.5979,
98.3939,135.908,16.9917,16.8002,-2.54364,0.760635,1,0.00210184,3.90228,
102.678,135.908,16.9579,16.7611,-2.57568,0.770435,1,0.00124873,3.55908,
106.961,135.908,16.9,16.6911,-2.64893,0.773666,1,0.000484607,3.96497,
111.245,135.908,16.7767,16.5498,-2.74963,0.751224,1,-0.000356279,3.83038,
115.528,135.908,16.7203,16.4689,-2.88849,0.775385,1,-0.00100209,4.12465,
119.812,135.908,16.3591,15.9842,-3.48206,0.775566,1,-0.00109083,4.37703,
124.096,135.908,15.6597,14.963,-4.61884,0.746816,1,-0.00104295,3.12318,
128.379,135.908,15.6494,14.5386,-5.79071,0.727319,1,-0.000944199,3.49067,
132.663,135.908,15.6355,14.4303,-6.01959,0.723963,1,-0.000823923,3.77897,
136.947,135.908,14.8795,13.8721,-5.38177,0.727236,1,-0.000367558,3.83415,
141.23,135.908,13.9917,13.1035,-4.9057,0.727111,1,-5.35296e-05,3.80611,
145.514,135.908,13.1981,12.3207,-4.73175,0.79118,1,-0.000121276,3.78839,
149.798,135.908,12.6359,11.7404,-4.67224,0.798379,1,4.98826e-05,3.75762,
154.081,135.908,12.7827,11.6283,-5.30853,0.739747,1,0.000676193,3.32014,
158.365,135.908,13.7768,12.0148,-6.74133,0.738438,1,0.00104653,3.75621,
162.648,135.908,14.6106,12.3125,-7.86591,0.764592,1,0.000993625,3.60508,
166.932,135.908,14.8665,12.4015,-8.19855,0.718596,1,0.000946547,3.03027,
171.216,135.908,13.331,11.2307,-7.18231,0.658813,1,0.000809835,3.38374,
175.499,135.908,10.0482,8.69368,-5.03845,0.674016,1,0.000521213,2.86427,
179.783,135.908,8.53991,7.75344,-3.57971,0.758901,1,0.000932454,2.96045,
184.067,135.908,8.66313,8.1294,-2.99377,0.816826,1,0.00119682,4.32669,
188.35,135.908,8.46236,8.14781,-2.28577,0.782991,1,0.000512459,3.90239,
192.634,135.908,8.70636,8.55452,-1.61896,0.76984,1,-0.000337414,3.00108,
196.918,135.908,9.91715,9.807,-1.474,0.738156,1,-0.00075347,3.41759,
201.201,135.908,10.8643,10.7732,-1.40381,0.778647,1,-0.00059785,3.89678,
205.485,135.908,11.2352,11.1931,-0.971985,0.852796,1,-0.000373832,4.27518,
209.769,135.908,11.4232,11.4106,-0.535583,0.847492,1,-0.000274283,4.06215,
214.052,135.908,11.417,11.41,-0.39978,0.854605,1,-0.000249467,4.13558,
218.336,135.908,11.2102,11.2057,-0.320435,0.880156,1,-0.000292165,4.09183,
222.619,135.908,11.104,11.1014,-0.238037,0.855769,1,5.70164e-05,4.29227,
226.903,135.908,10.9352,10.9311,-0.299072,0.861317,1,0.000749537,4.06209,
231.187,135.908,10.0895,10.0788,-0.465393,0.855371,1,0.000903526,3.76732,
235.47,135.908,9.00235,8.98306,-0.588989,0.799695,1,0.000413612,3.90639,
239.754,135.908,8.58479,8.56106,-0.637817,0.774243,1,-0.000235125,3.81312,
244.038,135.908,8.54177,8.51653,-0.656128,0.800808,1,0,4.38829,
4.15383,131.625,6.14136,6.09643,-0.741577,0.77201,1,-2.72295e-05,3.21447,
8.43747,131.625,6.80846,6.77074,-0.715637,0.767858,1,0.000724638,3.71874,
12.7211,131.625,7.58277,7.57625,-0.314331,0.746432,1,0.0019226,3.19725,
17.0048,131.625,7.29097,7.28752,-0.224304,0.731205,1,0.00340818,2.4429,
21.2884,131.625,5.87144,5.86957,-0.14801,0.750079,1,0.00465588,3.61176,
25.572,131.625,4.18565,4.16724,0.392151,0.76084,1,0.00473995,4.72526,
29.8557,131.625,3.38376,3.14635,1.24512,0.740132,1,0.00584265,4.2221,
34.1393,131.625,3.8607,3.2786,2.03857,0.722175,1,0.00839963,4.14842,
38.423,131.625,5.17859,4.66687,2.24457,0.693691,1,0.00958393,2.9876,
42.7066,131.625,7.62891,7.35613,2.02179,0.693337,1,0.00846907,3.26107,
46.9902,131.625,10.339,10.2651,1.23444,0.797365,1,0.006311,2.3526,
51.2739,131.625,12.1503,12.1439,0.395203,0.821306,1,0.00457851,2.54699,
55.5575,131.625,13.1114,13.1107,-0.138855,0.813982,1,0.00380518,3.74425,
59.8411,131.625,13.6237,13.6134,-0.52948,0.798484,1,0.00289505,4.65779,
64.1248,131.625,14.0445,14.0155,-0.901794,0.822334,1,0.0012936,5.02499,
68.4084,131.625,14.483,14.4202,-1.34735,0.793443,1,0.000681912,3.8841,
72.6921,131.625,14.6642,14.5651,-1.70135,0.728064,1,0.00126667,3.23615,
76.9757,131.625,14.5555,14.4504,-1.74561,0.745172,1,0.00171483,3.80648,
81.2593,131.625,14.614,14.5297,-1.56708,0.783439,1,0.00209353,3.8534,
85.543,131.625,14.7992,14.7312,-1.41754,0.837624,1,0.00245442,4.21544,
89.8266,131.625,15.0907,15.018,-1.4801,0.834795,1,0.00301209,5.02025,
94.1103,131.625,15.5682,15.4753,-1.6983,0.794647,1,0.00408523,3.72568,
98.3939,131.625,16.0086,15.8998,-1.8631,0.788712,1,0.00444565,3.25277,
102.678,131.625,16.3382,16.2261,-1.9104,0.810866,1,0.00386254,4.35709,
106.961,131.625,16.605,16.4832,-2.00806,0.814637,1,0.00323451,3.85049,
111.245,131.625,16.8528,16.7026,-2.24457,0.81615,1,0.0024051,3.36011,
115.528,131.625,17.1131,16.8976,-2.70691,0.782913,1,0.00165098,3.77885,
119.812,131.625,16.8512,16.4509,-3.65143,0.744139,1,0.000674878,4.39633,
124.096,131.625,16.2017,15.4088,-5.00641,0.702375,1,-0.000267449,3.63059,
128.379,131.625,16.19,14.9433,-6.23016,0.701298,1,-0.000270821,3.23561,
132.663,131.625,16.1633,14.7832,-6.53534,0.73389,1,-0.000406796,3.83308,
136.947,131.625,15.3186,14.0282,-6.15387,0.728754,1,-0.000910256,3.62182,
141.23,131.625,14.3533,13.1252,-5.80902,0.731297,1,-0.00138453,3.56952,
145.514,131.625,13.609,12.3715,-5.67017,0.764243,1,-0.00199425,4.37487,
149.798,131.625,13.0027,11.7182,-5.63507,0.734712,1,-0.00142611,3.46263,
