TITLE = "1.csv"
X(mm),Y(mm),Velocity |V|(mm/s),Velocity U(mm/s),Velocity V(mm/s),Correlation Value,Flag,Rotation Tensor(rad),Peak Ratio,
I=57, J=31, K=1,
4.15383,135.908,14.25,14.2443,-0.402832,0.850106,1,0.00104815,2.41031,
8.43747,135.908,14.7092,14.701,-0.489807,0.780155,1,0.00169744,4.08864,
12.7211,135.908,14.699,14.6784,-0.776672,0.801349,1,0.00177738,3.83563,
17.0048,135.908,14.3027,14.2756,-0.880432,0.778225,1,-0.000212663,3.51142,
21.2884,135.908,13.7486,13.7287,-0.740051,0.77738,1,-0.00153393,3.20223,
25.572,135.908,13.9801,13.9778,-0.256348,0.804929,1,0.00087578,4.09533,
29.8557,135.908,14.0051,14.0049,-0.0549316,0.801654,1,0.000860922,3.53843,
34.1393,135.908,13.6738,13.671,-0.280762,0.821991,1,-0.000173457,4.43598,
38.423,135.908,14.1566,14.1545,-0.239563,0.830017,1,0.00148873,4.02295,
42.7066,135.908,13.7121,13.7092,-0.280762,0.84514,1,0.000266081,4.22828,
46.9902,135.908,14.0163,14.01,-0.421143,0.857217,1,0.00060117,3.8363,
51.2739,135.908,15.2345,15.2343,-0.0839233,0.840137,1,0.00450808,3.16131,
55.5575,135.908,15.0421,15.0413,-0.151062,0.812948,1,0.00436275,2.85795,
59.8411,135.908,14.4497,14.4219,-0.895691,0.901311,1,0.000597555,2.041,
64.1248,135.908,14.4483,14.4149,-0.982666,0.91426,1,1.96121e-05,2.1783,
68.4084,135.908,13.9855,13.9675,-0.71106,0.84468,1,-0.000770803,4.93068,
72.6921,135.908,13.2074,13.1969,-0.527954,0.822905,1,-0.00193659,4.01351,
76.9757,135.908,13.0742,13.0666,-0.445557,0.873114,1,-0.00094089,3.12674,
81.2593,135.908,12.0356,12.0327,-0.263977,0.87537,1,-0.00276624,3.44299,
85.543,135.908,13.1009,13.0946,-0.405884,0.878173,1,-0.00163674,3.82344,
89.8266,135.908,12.6515,12.6425,-0.4776,0.859576,1,-0.0010856,4.00043,
94.1103,135.908,12.9767,12.9767,0.012207,0.84428,1,-0.000500385,5.1239,
98.3939,135.908,13.0557,13.0556,-0.0335693,0.842221,1,-0.00160346,4.12551,
102.678,135.908,13.8728,13.8703,-0.263977,0.850381,1,-0.000955106,4.6748,
106.961,135.908,13.6678,13.6646,-0.296021,0.872578,1,-0.000527834,4.41019,
111.245,135.908,13.1463,13.1436,-0.268555,0.900137,1,-0.000586791,4.11254,
115.528,135.908,12.5506,12.5437,-0.416565,0.867886,1,-0.00170889,4.44971,
119.812,135.908,11.8838,11.8827,-0.166321,0.841955,1,-0.00353301,4.44405,
124.096,135.908,12.3883,12.3866,0.209045,0.851115,1,-0.00308233,4.00259,
128.379,135.908,13.222,13.2219,-0.0488281,0.877437,1,-0.00128963,4.2512,
132.663,135.908,13.1751,13.1749,-0.0656128,0.890034,1,-0.00125421,4.93299,
136.947,135.908,13.0575,13.0573,0.0640869,0.887798,1,-0.000926229,4.38168,
141.23,135.908,13.0217,13.0209,0.146484,0.859267,1,-0.00102388,4.27892,
145.514,135.908,12.3718,12.3695,-0.234985,0.88171,1,-0.00120003,4.74331,
149.798,135.908,12.5157,12.5142,-0.193787,0.876971,1,-0.000220691,5.20917,
154.081,135.908,12.8256,12.8255,0.0274658,0.850116,1,-0.000612789,3.61146,
158.365,135.908,12.7523,12.7511,-0.170898,0.876543,1,-0.000993943,4.05911,
162.648,135.908,12.7046,12.7025,-0.227356,0.89023,1,-0.000968216,4.47105,
166.932,135.908,13.0046,13.0032,-0.187683,0.884949,1,-0.00204685,4.40658,
171.216,135.908,13.2892,13.289,-0.0671387,0.882016,1,-0.000829713,4.49085,
175.499,135.908,13.4239,13.4228,0.177002,0.855832,1,-0.00012837,4.61827,
179.783,135.908,12.9759,12.9759,-0.0244141,0.909832,1,-0.00126118,3.35709,
184.067,135.908,12.9101,12.9101,-0.0274658,0.935909,1,0.000501967,4.24516,
188.35,135.908,13.1584,13.1584,0.00152588,0.915273,1,0.00139908,4.82869,
192.634,135.908,12.3228,12.3222,-0.120544,0.847803,1,-0.00201396,2.92029,
196.918,135.908,12.0297,12.0295,-0.0671387,0.851441,1,-0.00211307,3.15501,
201.201,135.908,13.3242,13.3236,-0.126648,0.856176,1,-0.00018883,5.18447,
205.485,135.908,13.2434,13.2382,-0.370789,0.79256,1,0.000559159,3.56245,
209.769,135.908,13.3157,13.3109,-0.358582,0.816309,1,0.00106372,3.92718,
214.052,135.908,13.8572,13.857,-0.0564575,0.842949,1,0.000927478,4.51318,
218.336,135.908,13.2439,13.2438,0.0564575,0.849478,1,-0.000477969,3.49427,
222.619,135.908,12.6653,12.6652,0.050354,0.865279,1,-0.00163557,3.67932,
226.903,135.908,13.452,13.4512,0.143433,0.843337,1,-0.000681408,3.00566,
231.187,135.908,12.7941,12.794,0.0473022,0.886548,1,-0.000521893,2.74254,
235.47,135.908,11.2972,11.2971,-0.0488281,0.883767,1,-0.000547207,3.49394,
239.754,135.908,12.3621,12.3616,-0.109863,0.925899,1,-0.00102265,3.40012,
244.038,135.908,13.7202,13.7196,0.1297,0.923447,1,0,2.84173,
4.15383,131.625,13.7987,13.7948,-0.32959,0.839188,1,0.00211578,2.84668,
8.43747,131.625,13.9801,13.9739,-0.415039,0.757695,1,0.00142748,2.86245,
12.7211,131.625,13.9353,13.9178,-0.697327,0.798126,1,0.000611373,3.34775,
17.0048,131.625,14.3892,14.3666,-0.80719,0.803083,1,-0.000536962,3.43845,
21.2884,131.625,14.4019,14.3861,-0.674438,0.766611,1,-0.00139801,3.22583,
25.572,131.625,13.6046,13.6026,-0.230408,0.794484,1,-0.00110862,3.60507,
29.8557,131.625,13.6386,13.6363,-0.248718,0.824701,1,-0.000579139,3.94865,
34.1393,131.625,13.7507,13.7455,-0.378418,0.830765,1,0.000558657,4.33293,
38.423,131.625,13.5211,13.5174,-0.314331,0.826936,1,4.45182e-05,4.56807,
42.7066,131.625,13.6026,13.5952,-0.448608,0.841646,1,0.000437089,3.73826,
46.9902,131.625,13.7581,13.7516,-0.422668,0.908781,1,0.000307553,3.65896,
51.2739,131.625,13.3396,13.3043,-0.970459,0.879004,1,8.90794e-07,3.65714,
55.5575,131.625,13.2424,13.1753,-1.33209,0.823951,1,0.000195464,3.77175,
59.8411,131.625,14.1854,14.1659,-0.743103,0.803421,1,-0.00121755,3.58746,
64.1248,131.625,14.4277,14.4065,-0.782776,0.812395,1,-0.000178151,4.23457,
68.4084,131.625,14.3117,14.297,-0.648499,0.840351,1,-0.000659406,3.71518,
72.6921,131.625,14.0366,14.0259,-0.547791,0.824207,1,0.00065093,3.81308,
76.9757,131.625,13.4738,13.469,-0.357056,0.826013,1,0.000509677,4.67411,
81.2593,131.625,13.2224,13.2204,-0.230408,0.848148,1,-8.71547e-05,4.50513,
85.543,131.625,13.7979,13.7943,-0.311279,0.884772,1,0.000128442,4.00851,
89.8266,131.625,13.1181,13.1083,-0.506592,0.879731,1,-0.000719405,4.81628,
94.1103,131.625,13.1945,13.1914,-0.285339,0.874841,1,-0.000233017,4.49262,
98.3939,131.625,13.7469,13.7437,-0.296021,0.856568,1,-3.20189e-05,4.8084,
102.678,131.625,14.2843,14.2795,-0.372314,0.859554,1,-0.000324446,5.0302,
106.961,131.625,13.8934,13.8898,-0.317383,0.882924,1,-0.000460043,4.31359,
111.245,131.625,13.3975,13.3952,-0.244141,0.933777,1,-0.00012649,4.44957,
115.528,131.625,13.2791,13.2746,-0.344849,0.866175,1,-0.000733582,4.16994,
119.812,131.625,13.4159,13.398,-0.692749,0.818865,1,-0.00256285,4.09656,
124.096,131.625,13.7182,13.7092,-0.497437,0.888509,1,-0.00174873,3.93253,
128.379,131.625,13.7741,13.7737,-0.112915,0.912195,1,0.00120417,4.09083,
132.663,131.625,13.7127,13.7121,-0.12207,0.898107,1,0.00103007,4.89964,
136.947,131.625,13.4544,13.4544,-0.0442505,0.86573,1,-0.000972444,5.06607,
141.23,131.625,13.4586,13.4584,0.0839233,0.816704,1,8.91723e-05,4.13354,
145.514,131.625,12.8828,12.8826,-0.0640869,0.819736,1,7.48522e-05,4.40714,
149.798,131.625,12.6104,12.609,-0.183105,0.841063,1,-0.00034158,4.95658,
154.081,131.625,13.0875,13.087,-0.117493,0.819377,1,0.000658851,4.03711,
158.365,131.625,13.1776,13.1776,-0.0198364,0.801948,1,0.000263632,3.70128,
162.648,131.625,13.1186,13.1172,-0.186157,0.811053,1,-0.000181344,4.42427,
166.932,131.625,13.881,13.8802,-0.15564,0.888136,1,0.00197093,3.84047,
171.216,131.625,13.6466,13.6443,-0.253296,0.910889,1,0.00127216,3.66253,
175.499,131.625,13.4813,13.4786,-0.268555,0.898504,1,0.000683863,3.89712,
179.783,131.625,13.5168,13.5163,-0.115967,0.931963,1,0.000103499,3.94229,
184.067,131.625,12.695,12.6949,-0.0350952,0.917736,1,-0.00109034,4.6156,
188.35,131.625,12.5608,12.5608,-0.0213623,0.884876,1,0.000245428,3.91714,
192.634,131.625,13.1829,13.1829,-0.0366211,0.824802,1,-0.00132943,3.40677,
196.918,131.625,12.9378,12.9377,-0.0564575,0.832332,1,-0.00176132,3.20806,
201.201,131.625,13.4059,13.4043,-0.205994,0.858896,1,0.00293082,4.27564,
205.485,131.625,12.9993,12.9982,-0.169373,0.816152,1,0.00114026,3.63422,
209.769,131.625,12.855,12.8547,-0.0961304,0.832541,1,-0.000259666,3.80636,
214.052,131.625,13.4599,13.4595,-0.105286,0.872543,1,0.00199839,4.21319,
218.336,131.625,13.4473,13.4471,-0.0640869,0.878019,1,0.00162462,3.328,
222.619,131.625,13.3665,13.3664,-0.0411987,0.927021,1,0.000270483,3.72421,
226.903,131.625,13.7423,13.7422,-0.062561,0.926489,1,0.000617288,3.84186,
231.187,131.625,13.0168,13.0168,0.0350952,0.887766,1,0.000260938,3.87324,
235.47,131.625,11.5326,11.5326,-0.0183105,0.885727,1,-0.00188944,4.48331,
239.754,131.625,12.8018,12.8006,-0.17395,0.909649,1,0.00108749,2.94348,
244.038,131.625,13.793,13.7929,0.0534058,0.915923,1,0,2.65821,
4.15383,127.341,12.901,12.8881,-0.576782,0.776955,1,-0.00184168,2.85756,
8.43747,127.341,13.3737,13.3625,-0.549316,0.788388,1,-0.00117491,2.97918,
12.7211,127.341,13.6626,13.6557,-0.434875,0.818769,1,0.000705085,3.14258,
17.0048,127.341,14.6058,14.5966,-0.518799,0.808587,1,0.0010868,3.43156,
21.2884,127.341,14.9969,14.9839,-0.624084,0.76001,1,0.00155771,3.05683,
25.572,127.341,14.0859,14.0776,-0.483704,0.778071,1,-0.00122102,3.30678,
29.8557,127.341,13.8921,13.8845,-0.457764,0.813338,1,-0.00109498,4.55065,
34.1393,127.341,13.521,13.5065,-0.627136,0.850216,1,0.000170094,4.84407,
38.423,127.341,13.4997,13.4981,-0.204468,0.85778,1,-0.000339363,3.45061,
42.7066,127.341,13.4112,13.4078,-0.300598,0.715855,1,-0.00041122,3.07353,
46.9902,127.341,13.63,13.6199,-0.524902,0.805003,1,-0.000663042,3.54799,
51.2739,127.341,13.328,13.3037,-0.804138,0.885368,1,-0.000936409,4.52446,
55.5575,127.341,13.14,13.0912,-1.1322,0.76117,1,-0.000232452,3.47518,
59.8411,127.341,14.7066,14.6878,-0.743103,0.799144,1,0.00214719,3.07486,
64.1248,127.341,14.4961,14.4831,-0.613403,0.849282,1,0.00186791,4.43929,
68.4084,127.341,14.5862,14.5792,-0.454712,0.869467,1,0.000960071,5.13956,
72.6921,127.341,13.7508,13.7476,-0.300598,0.857791,1,7.48911e-05,4.25076,
76.9757,127.341,13.2518,13.2509,-0.154114,0.83887,1,-0.000274278,4.76261,
81.2593,127.341,13.259,13.2573,-0.210571,0.844571,1,-0.0004501,4.8863,
85.543,127.341,13.743,13.7401,-0.283813,0.85792,1,0.00291065,4.70454,
89.8266,127.341,13.4238,13.4161,-0.453186,0.88833,1,0.00097274,3.78491,
94.1103,127.341,13.2995,13.2914,-0.463867,0.877838,1,-0.000902013,3.78649,
98.3939,127.341,13.7608,13.7575,-0.299072,0.830555,1,0.000883821,5.18236,
102.678,127.341,14.4189,14.4181,-0.158691,0.775364,1,0.00192681,3.95383,
106.961,127.341,14.0886,14.0868,-0.228882,0.859286,1,0.000606462,3.89089,
111.245,127.341,13.4531,13.4489,-0.335693,0.908943,1,0.000178047,4.92388,
115.528,127.341,13.5959,13.5887,-0.440979,0.821818,1,0.0011499,3.54497,
119.812,127.341,14.5029,14.4968,-0.421143,0.845355,1,0.00216239,3.83398,
124.096,127.341,14.4614,14.4583,-0.302124,0.888825,1,0.00140563,3.94558,
128.379,127.341,13.2591,13.2589,-0.0671387,0.895619,1,0.000395383,4.18451,
132.663,127.341,13.2702,13.27,-0.0762939,0.888404,1,-0.000202756,4.58845,
136.947,127.341,13.8711,13.8707,-0.111389,0.887909,1,0.000873635,4.53319,
141.23,127.341,13.4214,13.4204,-0.167847,0.845613,1,0.000221145,4.89749,
145.514,127.341,12.8525,12.8509,-0.201416,0.823948,1,-0.00124702,4.27817,
149.798,127.341,12.7564,12.7546,-0.216675,0.871014,1,-0.00152084,4.76398,
154.081,127.341,12.8162,12.8054,-0.526428,0.842304,1,0.000206477,4.30124,
158.365,127.341,13.0671,13.0639,-0.289917,0.800904,1,0.000299126,4.02299,
162.648,127.341,13.1955,13.1952,0.0823975,0.823067,1,-0.000402668,3.96132,
166.932,127.341,13.0373,13.0372,0.050354,0.881714,1,0,4.1408,
171.216,127.341,13.0994,13.099,0.102234,0.899663,1,-0.000363263,3.91473,
175.499,127.341,13.1854,13.1852,-0.062561,0.888168,1,0.00171579,4.04241,
179.783,127.341,13.4748,13.4727,-0.239563,0.901187,1,0.00148291,4.55932,
184.067,127.341,13.1664,13.1627,-0.311279,0.894672,1,-0.00102045,4.27408,
188.35,127.341,12.4585,12.4565,-0.224304,0.86444,1,-0.00096952,3.38884,
192.634,127.341,13.7521,13.7521,0.0411987,0.807326,1,0.00416466,4.95305,
196.918,127.341,13.6943,13.694,0.0976562,0.820401,1,0.00320675,3.46914,
201.201,127.341,12.1509,12.1508,-0.0488281,0.865948,1,-0.00160516,4.61014,
205.485,127.341,12.5108,12.5106,0.062561,0.864043,1,-0.000882466,4.10689,
209.769,127.341,12.9652,12.9652,0.00762939,0.887408,1,0.00073798,3.98564,
214.052,127.341,12.6038,12.6032,-0.131226,0.906577,1,-0.000291992,3.23119,
218.336,127.341,12.752,12.752,-0.0137329,0.890479,1,0.000423398,3.36601,
222.619,127.341,13.2504,13.2504,0.00610352,0.914858,1,0.00114639,4.45761,
226.903,127.341,13.4775,13.4773,-0.0564575,0.928691,1,0.00147668,3.84131,
231.187,127.341,12.9112,12.9061,0.363159,0.823032,1,0.000467249,3.83918,
235.47,127.341,12.3525,12.3446,0.442505,0.818996,1,-0.000808619,3.44183,
239.754,127.341,12.334,12.334,-0.0183105,0.828059,1,-0.000572675,3.78378,
244.038,127.341,12.9502,12.9496,-0.128174,0.843348,1,0,4.12768,
4.15383,123.057,13.7061,13.6779,-0.878906,0.867751,1,0.000355164,1.98255,
8.43747,123.057,13.8907,13.8661,-0.827026,0.806522,1,9.4732e-05,3.25917,
12.7211,123.057,13.3588,13.353,-0.395203,0.815371,1,-0.000683575,3.05992,
17.0048,123.057,14.1354,14.1306,-0.369263,0.789065,1,0.00351826,3.25578,
21.2884,123.057,14.3299,14.3181,-0.58136,0.775209,1,0.00245935,3.03172,
25.572,123.057,14.6189,14.6003,-0.737,0.789149,1,0.000734218,4.0424,
29.8557,123.057,14.3675,14.3531,-0.643921,0.782898,1,0.00100668,4.62101,
34.1393,123.057,13.4427,13.4335,-0.495911,0.860184,1,-0.000906112,3.73819,
38.423,123.057,13.6464,13.6435,-0.282288,0.871819,1,-0.000599408,4.28377,
42.7066,123.057,13.5885,13.5839,-0.350952,0.717165,1,-2.5806e-05,3.33333,
46.9902,123.057,13.9155,13.9038,-0.570679,0.721707,1,0.000143442,3.0048,
51.2739,123.057,13.7134,13.7048,-0.486755,0.91781,1,0.00012839,2.85791,
55.5575,123.057,13.2001,13.1913,-0.483704,0.844407,1,0.000913341,2.86756,
59.8411,123.057,13.7767,13.7685,-0.476074,0.807037,1,0.00123897,4.01398,
64.1248,123.057,13.6929,13.6823,-0.538635,0.886033,1,0.000912646,4.84664,
68.4084,123.057,14.1741,14.1683,-0.405884,0.827886,1,0.00244619,4.40554,
72.6921,123.057,13.7155,13.7153,-0.0778198,0.811732,1,0.000231725,4.11475,
76.9757,123.057,13.3693,13.3682,-0.178528,0.839368,1,0.000137115,4.31459,
81.2593,123.057,13.4544,13.4508,-0.309753,0.835682,1,0.000728297,4.08878,
85.543,123.057,12.5036,12.4935,-0.502014,0.856928,1,0.000298864,3.80153,
89.8266,123.057,13.0073,13,-0.434875,0.87023,1,0.00121809,3.08423,
94.1103,123.057,13.682,13.6777,-0.341797,0.855836,1,0.00103552,3.24733,
98.3939,123.057,13.3809,13.3782,-0.273132,0.833126,1,-6.40858e-05,4.17479,
102.678,123.057,13.5963,13.5932,-0.288391,0.794842,1,0.000703132,3.71122,
106.961,123.057,13.8304,13.8274,-0.286865,0.832875,1,0.00122488,3.55068,
111.245,123.057,13.3757,13.373,-0.270081,0.873037,1,0.000381393,4.33865,
115.528,123.057,13.0983,13.0948,-0.300598,0.848516,1,-0.000313118,5.12481,
119.812,123.057,13.5721,13.5701,-0.231934,0.878562,1,0.00113021,4.4918,
124.096,123.057,13.8587,13.8577,-0.167847,0.8746,1,0.00123827,3.92888,
128.379,123.057,13.0918,13.0893,-0.256348,0.916143,1,-0.00116408,4.58026,
132.663,123.057,13.3603,13.3581,-0.238037,0.925347,1,-0.00070863,5.17455,
136.947,123.057,13.4973,13.496,-0.187683,0.90457,1,0.00136127,4.63461,
141.23,123.057,13.3319,13.326,-0.396729,0.888946,1,0.000797802,4.13995,
145.514,123.057,13.3903,13.3844,-0.396729,0.828844,1,0.000669643,3.66546,
149.798,123.057,13.4074,13.4059,-0.19989,0.813518,1,0.000438846,3.84269,
154.081,123.057,12.7254,12.7165,-0.476074,0.824888,1,-0.000210057,3.3187,
158.365,123.057,12.9437,12.9363,-0.436401,0.823563,1,0.000491076,4.45308,
162.648,123.057,13.3685,13.3684,0.038147,0.8665,1,0.000427784,4.88699,
166.932,123.057,13.0376,13.0373,0.0946045,0.909505,1,0.000370271,4.03895,
171.216,123.057,13.256,13.2556,0.0976562,0.910424,1,0.0014311,4.70242,
175.499,123.057,12.4495,12.4495,0.0320435,0.872657,1,0.000601452,3.602,
179.783,123.057,12.8422,12.8378,-0.334167,0.864443,1,0.000718269,4.18133,
184.067,123.057,13.6024,13.5988,-0.312805,0.848108,1,0.000784995,3.96498,
188.35,123.057,12.8733,12.8731,-0.0808716,0.840493,1,-8.56713e-05,4.01043,
192.634,123.057,11.9693,11.9689,0.088501,0.855207,1,-0.00202872,4.07691,
196.918,123.057,12.3252,12.3252,-0.0442505,0.795858,1,-0.000704452,3.77451,
201.201,123.057,12.8397,12.8394,-0.0946045,0.811593,1,0.00111125,3.653,
205.485,123.057,12.8887,12.8884,-0.0930786,0.895083,1,-0.00102646,4.21316,
209.769,123.057,12.6503,12.6498,-0.117493,0.912,1,0.000163827,3.69687,
214.052,123.057,12.7283,12.7282,-0.0488281,0.900709,1,0.000751884,4.065,
218.336,123.057,12.5705,12.5703,-0.0686646,0.880176,1,0.000391659,3.81347,
222.619,123.057,12.7597,12.7592,-0.106812,0.887661,1,-0.000370384,4.99351,
226.903,123.057,12.8476,12.847,-0.125122,0.90019,1,0.0016498,4.64504,
231.187,123.057,12.7074,12.7067,0.134277,0.86317,1,0.00199129,3.33631,
235.47,123.057,12.6958,12.6915,0.331116,0.859193,1,0.00175658,3.76399,
239.754,123.057,12.5801,12.5787,0.186157,0.853518,1,0.00168328,4.15572,
244.038,123.057,12.9863,12.9861,0.0808716,0.82899,1,0,3.77313,
4.15383,118.774,13.544,13.5257,-0.704956,0.885613,1,0.00258828,2.23212,
8.43747,118.774,13.8382,13.8256,-0.590515,0.82345,1,0.00268094,4.17948,
12.7211,118.774,13.6577,13.6463,-0.558472,0.841117,1,0.00177885,3.62433,
17.0048,118.774,12.6402,12.6229,-0.662231,0.818365,1,0.000362792,3.44859,
21.2884,118.774,13.2779,13.2638,-0.610352,0.785482,1,0.00190741,3.56176,
25.572,118.774,14.3004,14.2861,-0.639343,0.777894,1,0.00422599,3.3248,
29.8557,118.774,13.9321,13.9229,-0.505066,0.80512,1,0.00325074,4.48534,
34.1393,118.774,13.825,13.8216,-0.305176,0.846446,1,0.00131596,3.74176,
38.423,118.774,13.9107,13.9004,-0.534058,0.840909,1,0.00180371,4.75067,
42.7066,118.774,13.5961,13.5954,-0.137329,0.857169,1,0.00126471,3.7547,
46.9902,118.774,13.8438,13.8425,-0.190735,0.839246,1,0.000721652,3.97806,
51.2739,118.774,13.652,13.6496,0.257874,0.869078,1,-0.00017846,3.49182,
55.5575,118.774,12.7996,12.7995,0.0320435,0.859753,1,-0.000569355,4.10288,
59.8411,118.774,13.2453,13.2376,-0.45166,0.84572,1,0.000564524,3.85136,
64.1248,118.774,13.3032,13.2913,-0.561523,0.871641,1,0.00105836,4.61642,
68.4084,118.774,13.1275,13.1218,-0.387573,0.820178,1,0.0013218,4.92038,
72.6921,118.774,13.6163,13.616,-0.0930786,0.781999,1,0.00209067,4.17839,
76.9757,118.774,13.313,13.3094,-0.309753,0.820869,1,0.00126861,4.18887,
81.2593,118.774,13.1424,13.1394,-0.283813,0.841127,1,0.00141493,4.23063,
