TITLE = "150.csv"
X(mm),Y(mm),Velocity |V|(mm/s),Velocity U(mm/s),Velocity V(mm/s),Correlation Value,Flag,Rotation Tensor(rad),Peak Ratio,
I=57, J=31, K=1,
21.2884,131.625,13.6026,13.5891,-0.605774,0.821892,1,-9.71051e-05,2.31357,
25.572,131.625,13.4399,13.4225,-0.683594,0.809301,1,0.00174071,2.29443,
29.8557,131.625,13.5995,13.5985,-0.163269,0.803493,1,0.000183742,3.65762,
34.1393,131.625,13.9546,13.9512,-0.308228,0.914948,1,0.000505847,3.25624,
38.423,131.625,13.9326,13.9268,-0.401306,0.909254,1,2.58196e-05,2.82098,
42.7066,131.625,14.0244,14.0199,-0.357056,0.829542,1,-0.000844625,2.53081,
46.9902,131.625,14.2695,14.2651,-0.352478,0.776468,1,-0.000858865,3.35657,
51.2739,131.625,14.0726,14.0663,-0.419617,0.866357,1,-0.000205849,2.72448,
55.5575,131.625,13.7853,13.7797,-0.390625,0.893222,1,-9.79998e-06,3.54781,
59.8411,131.625,13.6032,13.5964,-0.431824,0.827099,1,0.00156055,4.04938,
64.1248,131.625,13.5051,13.4997,-0.379944,0.866486,1,0.0011436,4.58575,
68.4084,131.625,14.1166,14.1036,-0.604248,0.855969,1,0.000409266,5.24595,
72.6921,131.625,14.5156,14.497,-0.733948,0.802943,1,0.000759878,3.0146,
76.9757,131.625,13.8569,13.8487,-0.476074,0.828335,1,0.000142405,3.08699,
81.2593,131.625,14.0957,14.0862,-0.517273,0.835654,1,0.00119555,5.22062,
85.543,131.625,13.9298,13.9217,-0.476074,0.875906,1,-0.000625197,3.74932,
89.8266,131.625,13.897,13.8885,-0.485229,0.883537,1,-0.00125836,4.42955,
94.1103,131.625,14.1872,14.176,-0.564575,0.874518,1,0.000163904,4.3482,
98.3939,131.625,14.0559,14.0531,-0.279236,0.831302,1,0.000237153,4.28988,
102.678,131.625,13.56,13.5595,-0.115967,0.785961,1,-8.91105e-05,3.83106,
106.961,131.625,13.2823,13.2811,-0.180054,0.819576,1,0.000420174,4.36087,
111.245,131.625,13.4395,13.4381,-0.190735,0.856342,1,0.000323935,4.14465,
115.528,131.625,13.7265,13.7243,-0.248718,0.876078,1,4.81019e-05,3.93961,
119.812,131.625,13.604,13.6038,-0.0808716,0.874171,1,-9.25064e-05,3.36496,
124.096,131.625,14.1055,14.1055,0.0320435,0.848487,1,6.77101e-05,3.47707,
128.379,131.625,13.9161,13.9146,-0.204468,0.844818,1,-0.000625002,4.13016,
132.663,131.625,12.8004,12.7943,-0.396729,0.88294,1,-0.00171177,4.515,
136.947,131.625,13.2,13.1957,-0.335693,0.877344,1,-0.000213708,4.07055,
141.23,131.625,13.2331,13.2325,-0.119019,0.894715,1,-0.000170943,5.32218,
145.514,131.625,13.3277,13.3276,-0.062561,0.889707,1,0,4.98529,
149.798,131.625,13.1393,13.1382,-0.167847,0.854636,1,-0.00110415,4.02054,
154.081,131.625,13.1867,13.1796,-0.43335,0.855113,1,-0.00157852,5.34255,
158.365,131.625,13.0542,13.041,-0.587463,0.880095,1,-0.000659753,4.51786,
162.648,131.625,12.5535,12.5458,-0.437927,0.835321,1,-0.000203251,3.80148,
166.932,131.625,12.1063,12.1014,-0.343323,0.838775,1,-0.00159148,3.70885,
171.216,131.625,13.2707,13.2699,-0.144958,0.877932,1,-0.00110973,4.00642,
175.499,131.625,13.9062,13.9053,-0.152588,0.892258,1,0.000488558,3.9317,
179.783,131.625,13.4268,13.4227,-0.32959,0.827473,1,0.00135934,3.90876,
184.067,131.625,13.8583,13.8581,0.0778198,0.842728,1,0.000909885,3.65908,
188.35,131.625,13.1332,13.1291,0.32959,0.903583,1,-0.000160813,4.0689,
