variant,description,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,re_accuracy_mean,dy_mae_mean,eps_mae_mean,inverse_iou_mean,inverse_dice_mean
full_half_quarter_4ch,"Full+half+quarter, 4 channels",0.2,0.0,0.06666666666666667,0.0,0.3333333333333333,0.038015469908714294,0.04147003963589668,0.26254097913928376,0.3870008598345151
full_half_quarter_hotspot_4ch,"Full+half+quarter+hotspot, 4 channels",0.26666666666666666,0.0,0.155,0.0,0.3333333333333333,0.038015469908714294,0.038529958575963974,0.29903042557371723,0.4260233427271793
full_half_quarter_hotspot_speed,"Full+half+quarter+hotspot, speed only",0.2,0.0,0.06666666666666667,0.0,0.3333333333333333,0.021984530612826347,0.038529958575963974,0.2864635665063922,0.4337166117361452
full_only_4ch,"Full only, 4 channels",0.26666666666666666,0.0,0.17058823529411765,0.0,0.3333333333333333,0.021984530612826347,0.04147003963589668,0.2499788029362869,0.3636092180415955
