case_id,shape,re,sample_idx,seed,dy,eps,status,attempts,error,elapsed_s,output_csv,metadata_json
circle_Re100_p18,circle,100,18,1365560640,0.002716216957210589,0.017580855495074394,success,1,,0.0404,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re100_p18/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re100_p18/metadata.json
circle_Re100_p19,circle,100,19,1058981543,0.012398023330583978,0.0010815745371403008,success,1,,0.0422,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re100_p19/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re100_p19/metadata.json
circle_Re200_p00,circle,200,0,843621227,0.0018674417766250187,-0.03465375646618812,success,1,,0.0411,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re200_p00/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re200_p00/metadata.json
circle_Re200_p01,circle,200,1,1743843769,0.005881161370023709,0.025201440551183105,success,1,,0.0393,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re200_p01/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re200_p01/metadata.json
circle_Re200_p02,circle,200,2,936907958,0.031535546865772444,-0.016652368447367644,success,1,,0.0483,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re200_p02/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re200_p02/metadata.json
circle_Re200_p03,circle,200,3,1885155318,0.029402090255462247,-0.0413395040656894,success,1,,0.0467,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re200_p03/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re200_p03/metadata.json
circle_Re200_p04,circle,200,4,1689136832,-0.030429604307153132,-0.015291093356977582,success,1,,0.0445,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re200_p04/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re200_p04/metadata.json
circle_Re200_p05,circle,200,5,1877571809,-0.03259175198900928,0.027338790106935674,success,1,,0.0445,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re200_p05/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re200_p05/metadata.json
circle_Re200_p06,circle,200,6,1669764989,0.025017099811006548,-0.017030508057046395,success,1,,0.0414,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re200_p06/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re200_p06/metadata.json
circle_Re200_p07,circle,200,7,2014601552,0.024732467665282844,-0.023284303564715805,success,1,,0.0404,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re200_p07/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re200_p07/metadata.json
