TITLE = "150.csv"
X(mm),Y(mm),Velocity |V|(mm/s),Velocity U(mm/s),Velocity V(mm/s),Correlation Value,Flag,Rotation Tensor(rad),Peak Ratio,
I=57, J=31, K=1,
4.15383,135.908,11.7467,11.7241,-0.72937,0.889927,1,0.00242546,5.31217,
8.43747,135.908,12.9166,12.9038,-0.57373,0.849391,1,0.00472064,4.11704,
12.7211,135.908,12.9663,12.966,-0.0854492,0.828916,1,0.00768116,3.60647,
17.0048,135.908,10.046,10.0453,0.12207,0.793179,1,0.0114985,4.50826,
21.2884,135.908,8.17448,8.1183,0.956726,0.773733,1,0.0089361,4.29472,
25.572,135.908,7.83513,7.61189,1.85699,0.747795,1,0.0105267,4.56339,
29.8557,135.908,7.18675,6.79173,2.34985,0.671116,1,0.0106271,3.70646,
34.1393,135.908,7.55551,7.26056,2.09045,0.683879,1,0.0105553,3.56912,
38.423,135.908,8.87299,8.76797,1.36108,0.729943,1,0.0118028,3.48147,
42.7066,135.908,10.1715,10.146,0.718689,0.768763,1,0.00917509,4.61993,
46.9902,135.908,11.3498,11.3412,0.442505,0.830642,1,0.00574916,4.37976,
51.2739,135.908,12.0083,12.007,0.17395,0.854768,1,0.00294153,4.19073,
55.5575,135.908,12.1209,12.1195,-0.184631,0.845874,1,0.001529,5.07495,
59.8411,135.908,12.9145,12.8774,-0.978088,0.841395,1,0.00282675,4.90542,
64.1248,135.908,13.6704,13.5192,-2.02789,0.802784,1,0.00421536,4.39044,
68.4084,135.908,13.8991,13.5575,-3.06244,0.735409,1,0.00491126,4.28622,
72.6921,135.908,15.0434,14.0985,-5.2475,0.691748,1,0.00347078,3.13615,
76.9757,135.908,14.8056,13.7188,-5.56793,0.696686,1,0.00278939,3.71086,
81.2593,135.908,14.0188,12.8577,-5.58624,0.697608,1,0.00241563,3.82234,
85.543,135.908,13.2822,12.4493,-4.62952,0.723849,1,0.00113948,3.59724,
89.8266,135.908,13.02,12.5983,-3.28674,0.73588,1,0.00180544,3.76301,
94.1103,135.908,12.5788,12.3078,-2.59705,0.740129,1,0.00198181,4.57917,
98.3939,135.908,12.2879,12.0314,-2.49786,0.750759,1,0.000451926,4.2255,
102.678,135.908,12.6339,12.4701,-2.02789,0.794073,1,0.000475034,4.63221,
106.961,135.908,12.9864,12.9291,-1.21918,0.833492,1,0.000746069,4.36219,
111.245,135.908,13.0804,13.0398,-1.02997,0.825631,1,0.00120348,4.54481,
115.528,135.908,12.6123,12.5904,-0.743103,0.873256,1,0.000561222,4.5611,
119.812,135.908,12.4773,12.4465,-0.875854,0.858529,1,0.000215378,4.87682,
124.096,135.908,12.7442,12.7057,-0.990295,0.83837,1,8.19865e-05,5.16115,
128.379,135.908,12.4496,12.4044,-1.06049,0.870344,1,-0.000199504,4.37419,
132.663,135.908,12.3958,12.3486,-1.08032,0.862417,1,0.000320668,4.82996,
136.947,135.908,12.2663,12.2445,-0.730896,0.822509,1,8.19719e-05,5.03074,
141.23,135.908,12.0217,12.0187,-0.267029,0.856931,1,-0.000699011,4.68474,
145.514,135.908,11.5064,11.5061,-0.0823975,0.854277,1,-0.000357013,5.14625,
149.798,135.908,10.5468,10.5449,0.201416,0.772809,1,-0.000690166,4.81895,
154.081,135.908,8.91154,8.88409,0.698853,0.710257,1,-0.000281158,4.51842,
158.365,135.908,9.31872,9.26364,1.01166,0.705102,1,0.000992317,3.9051,
162.648,135.908,9.96146,9.91643,0.946045,0.740398,1,0.000892749,3.84721,
166.932,135.908,10.687,10.5599,1.64337,0.711025,1,0.00345329,4.17975,
171.216,135.908,10.5853,10.3608,2.16827,0.729968,1,0.00462511,4.56906,
175.499,135.908,10.1656,9.89024,2.34985,0.729332,1,0.0014232,4.05557,
179.783,135.908,10.6088,10.3868,2.15912,0.74379,1,0.00187141,3.92057,
184.067,135.908,10.962,10.9037,1.12915,0.819817,1,0.00101794,4.61523,
188.35,135.908,11.2688,11.2525,0.6073,0.831202,1,-0.00112162,4.64337,
192.634,135.908,11.4242,11.422,0.224304,0.763063,1,-0.00160825,4.0848,
196.918,135.908,11.9092,11.9092,0.0274658,0.810956,1,-0.00140631,3.61758,
201.201,135.908,12.1319,12.1306,-0.175476,0.824356,1,-0.00214191,4.0723,
205.485,135.908,11.936,11.9148,-0.71106,0.793613,1,-0.00190192,3.90463,
209.769,135.908,12.8304,12.7711,-1.23291,0.772761,1,0.00180196,3.83378,
214.052,135.908,13.052,12.8825,-2.09656,0.741852,1,0.00169186,3.34833,
218.336,135.908,12.2685,12.0178,-2.46735,0.758618,1,-0.000989524,3.01692,
222.619,135.908,12.5724,12.3394,-2.40936,0.813016,1,7.4857e-05,2.71359,
226.903,135.908,12.238,12.0386,-2.20032,0.804964,1,0.000811024,3.60969,
231.187,135.908,12.7693,12.6402,-1.81122,0.80615,1,0.0026418,3.8017,
