TITLE = "1.csv"
X(mm),Y(mm),Velocity |V|(mm/s),Velocity U(mm/s),Velocity V(mm/s),Correlation Value,Flag,Rotation Tensor(rad),Peak Ratio,
I=57, J=31, K=1,
25.572,131.625,3.65503,3.55041,0.868225,0.739424,1,0.00592409,4.47603,
29.8557,131.625,6.60906,6.58138,0.604248,0.740018,1,0.0119419,3.25253,
34.1393,131.625,7.62434,7.60273,0.57373,0.762975,1,0.0110691,3.95889,
38.423,131.625,7.40412,7.3845,0.538635,0.752068,1,0.0081199,3.46184,
42.7066,131.625,9.21077,9.20274,0.384521,0.77411,1,0.00991497,3.84185,
46.9902,131.625,10.6181,10.6181,0.00610352,0.811279,1,0.0110804,4.68854,
51.2739,131.625,11.9376,11.9238,-0.57373,0.810796,1,0.010682,4.74756,
55.5575,131.625,12.267,12.1879,-1.3916,0.769549,1,0.00576919,4.5878,
59.8411,131.625,12.7818,12.4207,-3.01666,0.724643,1,0.00464131,3.73158,
64.1248,131.625,13.7423,12.6749,-5.31006,0.696963,1,0.00616267,4.02002,
68.4084,131.625,13.8223,12.4055,-6.09589,0.682767,1,0.00367308,3.57982,
72.6921,131.625,13.7006,12.3392,-5.95398,0.685355,1,0.0033737,4.0524,
76.9757,131.625,13.1517,12.288,-4.6875,0.693072,1,0.00256524,4.38923,
81.2593,131.625,12.4705,12.1987,-2.58942,0.780629,1,0.0016151,4.34879,
85.543,131.625,12.4467,12.2814,-2.02179,0.79372,1,0.00187675,5.33585,
89.8266,131.625,12.487,12.3887,-1.56403,0.762306,1,0.00139652,5.29392,
94.1103,131.625,11.9187,11.7884,-1.75781,0.76814,1,8.55033e-05,5.26396,
98.3939,131.625,11.8208,11.7237,-1.51215,0.772858,1,-0.000178074,4.55066,
102.678,131.625,11.8346,11.7986,-0.921631,0.803344,1,-0.000263277,4.7652,
106.961,131.625,12.3506,12.318,-0.897217,0.803465,1,0.000213551,5.67918,
111.245,131.625,12.6898,12.6686,-0.733948,0.791377,1,0.00110279,4.74084,
115.528,131.625,12.5557,12.5456,-0.505066,0.831466,1,0.000403973,5.30504,
119.812,131.625,12.9108,12.8915,-0.704956,0.837636,1,0.000800312,5.89475,
124.096,131.625,12.5907,12.5594,-0.886536,0.857245,1,0.000269115,4.74443,
128.379,131.625,12.2962,12.2781,-0.666809,0.857863,1,0.000847811,4.94405,
132.663,131.625,12.2718,12.2635,-0.45166,0.807136,1,0.00116965,4.99424,
136.947,131.625,11.7966,11.7956,-0.154114,0.816423,1,0.000396204,5.20339,
141.23,131.625,10.9223,10.9198,0.236511,0.781089,1,-0.000513607,4.72712,
145.514,131.625,10.3973,10.3659,0.80719,0.742377,1,0.00139911,5.10251,
149.798,131.625,10.6416,10.6083,0.840759,0.761812,1,0.00172982,4.93173,
154.081,131.625,10.9593,10.9432,0.593567,0.781207,1,0.00182814,4.57403,
158.365,131.625,10.8804,10.7611,1.60675,0.75925,1,0.00208675,4.27957,
162.648,131.625,10.8611,10.1606,3.83759,0.693992,1,0.00292024,4.51273,
166.932,131.625,10.6754,9.73787,4.37469,0.707352,1,-0.00185854,3.83614,
171.216,131.625,10.5955,9.94025,3.66821,0.715643,1,-0.000312673,3.9376,
175.499,131.625,11.1014,11.0245,1.30463,0.769981,1,0.00083285,4.08333,
179.783,131.625,11.3808,11.3756,0.344849,0.83868,1,-0.000455553,5.14776,
184.067,131.625,11.7495,11.7479,-0.192261,0.850832,1,-0.00165786,4.93181,
188.35,131.625,11.4392,11.3629,-1.31836,0.829392,1,-0.00172218,4.49376,
192.634,131.625,11.2198,10.9438,-2.47345,0.789368,1,-0.000759838,4.15422,
196.918,131.625,10.8856,10.3177,-3.46985,0.727893,1,0.000616193,3.97906,
201.201,131.625,10.8363,10.3531,-3.19977,0.764107,1,0.00178453,4.27366,
205.485,131.625,11.7098,11.2283,-3.32336,0.759715,1,0.00333861,4.21536,
209.769,131.625,12.3805,12.0244,-2.948,0.744535,1,0.00217617,3.66644,
214.052,131.625,12.2472,12.0771,-2.034,0.780258,1,0.00163919,3.89039,
218.336,131.625,12.0726,11.9156,-1.94092,0.790721,1,0.000438223,4.14628,
222.619,131.625,12.0149,11.8335,-2.07977,0.790471,1,-0.000267598,4.089,
226.903,131.625,11.4878,11.1278,-2.85339,0.776311,1,0.00152986,3.22507,
231.187,131.625,10.9338,10.6465,-2.49023,0.806072,1,0.00189913,3.7908,
235.47,131.625,10.743,10.5253,-2.15149,0.808541,1,0.00196591,3.79319,
239.754,131.625,10.7546,10.6061,-1.7807,0.827485,1,0.00195953,3.52663,
244.038,131.625,10.0479,9.74644,-2.44293,0.87522,1,0,4.91065,
4.15383,127.341,3.68161,3.6074,-0.735474,0.815866,1,0.00143769,3.77438,
8.43747,127.341,4.07633,4.05786,-0.387573,0.81873,1,0.00284539,5.04269,
12.7211,127.341,2.26686,2.0889,0.880432,0.816467,1,0.00098628,3.93312,
17.0048,127.341,2.94694,-0.144047,2.94342,0.739573,1,0.000545918,4.00822,
21.2884,127.341,3.78093,-0.512482,3.74603,0.694677,1,0.00256815,3.91683,
25.572,127.341,1.90007,0.994609,1.61896,0.795304,1,0.00437446,4.23062,
29.8557,127.341,1.80363,1.45334,1.06812,0.820114,1,0.0062926,4.91025,
34.1393,127.341,2.92162,2.8635,0.579834,0.812197,1,0.00718344,4.15745,
38.423,127.341,3.89205,3.89139,0.0717163,0.784256,1,0.00609223,3.58864,
42.7066,127.341,4.94176,4.94131,0.0671387,0.732812,1,0.0061279,3.0294,
46.9902,127.341,5.85723,5.85723,0.00305176,0.70846,1,0.00723255,3.03855,
51.2739,127.341,7.34552,7.34513,-0.0747681,0.712368,1,0.00941394,4.51489,
55.5575,127.341,9.74955,9.71544,-0.814819,0.694829,1,0.0130717,3.7225,
59.8411,127.341,10.5906,10.4311,-1.83105,0.672774,1,0.012267,3.77882,
64.1248,127.341,10.9708,10.0368,-4.42963,0.658626,1,0.0113007,3.75201,
68.4084,127.341,11.8921,10.8324,-4.90723,0.644794,1,0.00975134,3.89194,
72.6921,127.341,11.8467,10.8937,-4.65546,0.65154,1,0.00362549,4.40649,
76.9757,127.341,12.1822,11.1893,-4.8172,0.65433,1,0.00304512,4.10328,
81.2593,127.341,12.1636,11.5063,-3.9444,0.693787,1,0.00425343,4.39022,
85.543,127.341,11.6815,11.4771,-2.1759,0.734082,1,0.00684837,4.97026,
89.8266,127.341,11.8525,11.7915,-1.20087,0.760774,1,0.00356777,5.39133,
94.1103,127.341,11.8127,11.7516,-1.20087,0.778917,1,0.0018877,5.15397,
98.3939,127.341,11.8807,11.8,-1.38245,0.782532,1,0.00237887,4.49051,
102.678,127.341,11.9478,11.9119,-0.924683,0.794256,1,0.000642489,4.08401,
106.961,127.341,12.2432,12.2264,-0.642395,0.777502,1,0.000568196,4.00515,
111.245,127.341,12.2155,12.1965,-0.682068,0.796714,1,0.00104505,4.52569,
115.528,127.341,12.3844,12.3727,-0.538635,0.859591,1,0.00103437,5.21756,
119.812,127.341,12.5678,12.5485,-0.695801,0.873898,1,0.0017993,5.19004,
124.096,127.341,12.4729,12.4446,-0.839233,0.854539,1,0.00196336,4.35295,
128.379,127.341,11.9435,11.9153,-0.820923,0.815738,1,0.00184939,4.71994,
132.663,127.341,11.7868,11.7631,-0.747681,0.800701,1,0.00177806,4.70595,
136.947,127.341,11.6328,11.6263,-0.389099,0.821617,1,0.000164043,5.01411,
141.23,127.341,11.1399,11.1384,-0.183105,0.788108,1,-0.0013651,4.54229,
145.514,127.341,9.76935,9.76535,0.279236,0.691064,1,-4.98578e-05,4.50384,
149.798,127.341,9.88238,9.86701,0.550842,0.699702,1,0.00149506,4.302,
154.081,127.341,10.1912,10.1612,0.78125,0.719688,1,0.00255221,4.41168,
158.365,127.341,10.1193,9.8679,2.24152,0.672302,1,0.00513373,4.13325,
162.648,127.341,10.2515,8.91063,5.06897,0.645645,1,0.00213629,3.53922,
166.932,127.341,12.4378,10.535,6.61163,0.652665,1,0.00271724,3.45375,
171.216,127.341,10.8935,10.0732,4.14734,0.687499,1,-0.00071855,4.13068,
175.499,127.341,10.7228,10.6668,1.09406,0.793134,1,-0.00121568,4.58876,
179.783,127.341,11.5753,11.5703,0.340271,0.819262,1,-0.000245278,5.07129,
184.067,127.341,12.4661,12.4578,-0.454712,0.814211,1,0.000395724,4.47314,
188.35,127.341,12.231,12.0996,-1.78833,0.786126,1,0.000274816,4.05,
192.634,127.341,11.6109,11.2694,-2.79541,0.763511,1,0.00148605,4.29094,
196.918,127.341,10.8795,10.0535,-4.15802,0.71965,1,-0.00028528,4.31926,
201.201,127.341,10.4266,9.58734,-4.09851,0.755153,1,-0.00056966,4.51574,
205.485,127.341,10.5332,9.7967,-3.86963,0.750815,1,0.000820366,4.29025,
209.769,127.341,11.5308,11.0915,-3.15247,0.722439,1,0.00420404,3.78825,
214.052,127.341,11.6315,11.375,-2.4292,0.756289,1,0.00385813,3.32265,
218.336,127.341,11.9239,11.7273,-2.15607,0.734174,1,0.00179438,4.49297,
222.619,127.341,12.0877,11.9478,-1.83411,0.734494,1,0.00198022,3.47304,
226.903,127.341,10.7336,10.4733,-2.34985,0.773374,1,6.06466e-05,3.6083,
231.187,127.341,10.1913,9.83314,-2.67792,0.786322,1,0.00202755,4.05694,
235.47,127.341,10.0147,9.68311,-2.55585,0.785127,1,0.00496811,3.23827,
239.754,127.341,9.94882,9.76813,-1.88751,0.800106,1,0.00421673,4.14121,
244.038,127.341,10.0693,9.84859,-2.09656,0.786164,1,0,3.31219,
4.15383,123.057,3.02714,2.99091,-0.466919,0.778728,1,0.00017928,3.29382,
8.43747,123.057,2.87071,2.84463,-0.386047,0.836957,1,0.00118096,4.33236,
12.7211,123.057,1.72989,1.66864,0.456238,0.83198,1,-0.00069459,4.86142,
17.0048,123.057,2.51266,-0.377596,2.48413,0.77773,1,-0.00151739,4.77518,
21.2884,123.057,4.79138,-1.6164,4.5105,0.704925,1,0.000634303,4.71863,
25.572,123.057,3.50019,-0.881189,3.38745,0.752009,1,0.00564987,4.52646,
29.8557,123.057,2.64324,-1.25094,2.32849,0.774516,1,0.00953704,4.46002,
34.1393,123.057,1.67031,-0.221368,1.65558,0.817401,1,0.00719425,4.85861,
38.423,123.057,1.45555,1.27513,0.701904,0.820614,1,0.00655615,4.13325,
42.7066,123.057,2.33678,2.31074,0.3479,0.775425,1,0.00552448,3.42454,
46.9902,123.057,2.76652,2.74808,0.318909,0.764508,1,0.00516471,3.26572,
51.2739,123.057,3.36154,3.29034,-0.688171,0.793057,1,0.00529563,4.68074,
55.5575,123.057,4.33786,4.10599,-1.39923,0.763167,1,0.00499575,4.44335,
59.8411,123.057,5.55508,5.18122,-2.00348,0.685372,1,0.00647485,4.03354,
64.1248,123.057,6.25776,5.18617,-3.50189,0.674266,1,0.00517222,3.73826,
68.4084,123.057,7.57521,6.65461,-3.61938,0.64975,1,0.00772394,3.16495,
72.6921,123.057,10.3282,9.34015,-4.40826,0.614079,1,0.0114763,3.37036,
76.9757,123.057,11.0567,9.88375,-4.95605,0.625473,1,0.0119113,3.80305,
81.2593,123.057,10.4491,9.68469,-3.92303,0.625272,1,0.0113663,3.89987,
85.543,123.057,8.67493,8.54103,-1.51825,0.642389,1,0.00768804,4.23466,
89.8266,123.057,10.3061,10.2629,-0.942993,0.726828,1,0.0119207,4.31683,
94.1103,123.057,10.9762,10.943,-0.852966,0.765177,1,0.00869283,4.76579,
98.3939,123.057,10.8465,10.7808,-1.19171,0.780617,1,0.00550666,4.55423,
102.678,123.057,11.6743,11.6362,-0.942993,0.786861,1,0.00698666,4.61759,
106.961,123.057,11.9925,11.9826,-0.488281,0.765316,1,0.0066932,4.28164,
111.245,123.057,11.7641,11.7487,-0.601196,0.788245,1,0.00490114,4.60975,
115.528,123.057,11.9446,11.9293,-0.605774,0.852348,1,0.00317851,4.07643,
119.812,123.057,11.8001,11.7783,-0.717163,0.86172,1,0.00306643,4.68277,
124.096,123.057,11.6339,11.604,-0.83313,0.810859,1,0.00230192,4.33133,
128.379,123.057,11.1712,11.1235,-1.03149,0.771181,1,0.000409759,4.95653,
132.663,123.057,11.0362,11.0016,-0.872803,0.805086,1,0.000174318,4.35025,
136.947,123.057,11.5633,11.5555,-0.42572,0.81915,1,0.00112163,4.61267,
141.23,123.057,11.7231,11.7213,-0.201416,0.788884,1,0.00182134,4.99434,
145.514,123.057,9.79127,9.78724,-0.280762,0.715915,1,-0.000663422,4.80962,
149.798,123.057,9.22732,9.22616,0.146484,0.689335,1,-0.000655669,4.26998,
154.081,123.057,9.13457,9.0677,1.10321,0.693422,1,0.00202274,3.58106,
158.365,123.057,8.31752,7.67358,3.20892,0.672603,1,0.00192922,3.12386,
162.648,123.057,9.5889,7.99248,5.29785,0.647234,1,-0.000646223,3.68857,
166.932,123.057,11.1777,9.37218,6.09131,0.664635,1,-0.000373142,3.52581,
171.216,123.057,11.0237,10.3819,3.70636,0.732183,1,-0.000327098,4.24388,
175.499,123.057,11.2321,11.1899,0.973511,0.788812,1,-0.00104251,4.30101,
179.783,123.057,11.6793,11.6767,0.245667,0.793398,1,0.000633151,4.43685,
184.067,123.057,12.3063,12.2875,-0.679016,0.778365,1,0.00261288,4.58808,
188.35,123.057,12.256,11.9826,-2.57416,0.750332,1,0.00191175,4.22442,
192.634,123.057,11.494,10.6339,-4.36249,0.721985,1,0.00177939,4.03959,
196.918,123.057,11.2156,10.1757,-4.71649,0.720176,1,0.00138321,3.81505,
201.201,123.057,11.0196,9.83141,-4.97742,0.727302,1,0.00164718,3.87141,
205.485,123.057,10.3053,9.44329,-4.12598,0.716871,1,0.00212734,3.85605,
209.769,123.057,9.75989,9.28939,-2.99377,0.711054,1,0.00305676,4.12198,
214.052,123.057,10.1375,9.72178,-2.87323,0.696375,1,0.00471327,3.77627,
218.336,123.057,11.2054,10.9592,-2.33612,0.715606,1,0.00465052,4.44573,
222.619,123.057,11.2427,11.103,-1.76697,0.739394,1,0.00505519,4.36037,
226.903,123.057,10.6456,10.4471,-2.0462,0.772473,1,0.00326349,3.94374,
231.187,123.057,9.67357,8.96416,-3.63617,0.733834,1,0.002516,3.60974,
235.47,123.057,8.39195,7.55445,-3.65448,0.713665,1,0.00248043,2.55592,
239.754,123.057,8.33125,7.96222,-2.45209,0.769351,1,0.000758033,3.96623,
244.038,123.057,8.69206,8.35628,-2.39258,0.779688,1,0,4.15925,
4.15383,118.774,2.93308,2.91416,-0.332642,0.798769,1,0.000625878,3.44175,
8.43747,118.774,2.34317,2.34015,-0.119019,0.814222,1,-0.000800618,4.46661,
12.7211,118.774,1.99121,1.96476,0.323486,0.79939,1,-0.000938543,4.30926,
17.0048,118.774,1.71668,0.270415,1.69525,0.808517,1,-0.0018393,4.16499,
21.2884,118.774,3.89709,-1.88872,3.40881,0.755161,1,-0.00174539,4.22915,
25.572,118.774,5.39089,-3.29938,4.26331,0.718344,1,-0.00199362,3.96617,
29.8557,118.774,6.52639,-5.34638,3.74298,0.705459,1,-0.00335427,3.94722,
34.1393,118.774,4.69761,-3.31394,3.32947,0.740484,1,0.00305698,3.92728,
38.423,118.774,2.51734,-1.54007,1.99127,0.747433,1,0.00638074,4.47831,
42.7066,118.774,0.443321,-0.0584307,0.439453,0.794705,1,0.00619301,4.13739,
46.9902,118.774,0.608043,0.532809,0.292969,0.825615,1,0.00519743,4.84311,
51.2739,118.774,1.07389,1.01754,-0.343323,0.840524,1,0.0050426,5.26797,
55.5575,118.774,2.187,1.96065,-0.968933,0.843252,1,0.00433944,4.98376,
59.8411,118.774,2.90813,2.40759,-1.63116,0.770111,1,0.00464872,5.24437,
64.1248,118.774,4.52344,2.96293,-3.41797,0.692973,1,0.00531369,3.95298,
68.4084,118.774,5.09374,3.32486,-3.85895,0.709302,1,0.00517674,4.04617,
72.6921,118.774,6.97099,4.41771,-5.39246,0.617925,1,0.0080362,3.77392,
76.9757,118.774,6.37557,4.78394,-4.21448,0.656462,1,0.00665144,3.4172,
81.2593,118.774,5.92908,4.82851,-3.44086,0.662351,1,0.00546261,3.28719,
85.543,118.774,5.93947,5.2348,-2.80609,0.651443,1,0.00624555,4.01892,
89.8266,118.774,5.52351,5.14854,-2.00043,0.652483,1,0.00676191,3.96922,
94.1103,118.774,7.28202,7.2201,-0.947571,0.621031,1,0.01061,4.18469,
98.3939,118.774,8.47186,8.41749,-0.958252,0.705703,1,0.0141172,4.34294,
102.678,118.774,8.666,8.64136,-0.653076,0.705327,1,0.01275,4.15958,
106.961,118.774,9.12393,9.11682,-0.360107,0.710269,1,0.00907366,4.07903,
111.245,118.774,9.65208,9.64795,-0.282288,0.720236,1,0.010057,3.68552,
115.528,118.774,10.5697,10.5683,-0.170898,0.753199,1,0.00587883,3.97647,
119.812,118.774,10.4724,10.4656,-0.376892,0.776185,1,0.00509194,4.05444,
124.096,118.774,10.6363,10.6194,-0.59967,0.76205,1,0.00378894,4.68555,
128.379,118.774,10.967,10.9486,-0.636292,0.740414,1,0.00265746,4.9284,
132.663,118.774,10.9649,10.9266,-0.915527,0.785899,1,0.00323327,4.27094,
136.947,118.774,11.1122,11.0749,-0.909424,0.808131,1,0.00162838,5.09719,
141.23,118.774,10.9763,10.9446,-0.834656,0.782065,1,0.00082453,4.69016,
145.514,118.774,10.0911,10.0711,-0.634766,0.750783,1,-5.35022e-05,4.62996,
149.798,118.774,9.50588,9.50583,0.0305176,0.723746,1,0.000343005,4.49774,
154.081,118.774,8.26998,8.2052,1.03302,0.681847,1,-0.00146511,3.2995,
158.365,118.774,7.87326,6.84719,3.88641,0.644176,1,-0.00329113,3.45141,
162.648,118.774,9.2743,8.27072,4.19617,0.664039,1,-0.00148104,4.07609,
166.932,118.774,9.99901,9.53213,3.01971,0.679794,1,-0.000223895,3.37323,
171.216,118.774,10.7489,10.5226,2.19421,0.748849,1,-0.000561354,4.4465,
175.499,118.774,11.6666,11.6365,0.837708,0.813726,1,0.00055599,4.66459,
179.783,118.774,11.405,11.404,0.154114,0.83032,1,0.000776966,4.58321,
184.067,118.774,11.1981,11.1695,-0.799561,0.784536,1,0.000427456,4.38883,
188.35,118.774,11.4267,11.1662,-2.42615,0.719367,1,0.00315844,3.21294,
192.634,118.774,11.5058,9.87216,-5.90973,0.642107,1,0.00420253,3.73717,
196.918,118.774,11.3712,9.58462,-6.11877,0.655426,1,-0.00478186,4.01018,
201.201,118.774,10.6443,9.12653,-5.47791,0.664891,1,-0.00647768,3.73524,
205.485,118.774,9.74004,8.53202,-4.69818,0.688947,1,0.00298177,4.27851,
209.769,118.774,8.92005,7.97936,-3.98712,0.669462,1,0.00250581,3.77666,
214.052,118.774,8.41168,7.69676,-3.39355,0.615197,1,0.00270985,3.67532,
218.336,118.774,9.42523,8.96678,-2.90375,0.689143,1,-9.97451e-05,3.99249,
222.619,118.774,9.30102,8.94034,-2.565,0.727356,1,0.00242871,3.57504,
226.903,118.774,9.48797,9.05498,-2.83356,0.724327,1,0.00279673,3.75887,
231.187,118.774,8.77118,7.89008,-3.83148,0.719771,1,-0.00155459,4.28548,
235.47,118.774,7.87446,6.49165,-4.45709,0.697064,1,-0.00112618,3.42138,
239.754,118.774,8.30114,7.63778,-3.25165,0.759423,1,0.00413341,3.84504,
244.038,118.774,7.69879,7.12458,-2.91748,0.769037,1,0,3.86124,
4.15383,114.49,2.66275,2.64642,-0.294495,0.835796,1,0.00155762,4.54753,
8.43747,114.49,2.68854,2.68281,-0.175476,0.816534,1,0.00122939,4.28141,
12.7211,114.49,2.38486,2.36525,0.305176,0.80579,1,0.00279724,3.95632,
17.0048,114.49,1.53052,1.05448,1.10931,0.833588,1,0.00168193,5.30206,
21.2884,114.49,2.44857,-1.14338,2.16522,0.788048,1,-0.000163018,4.03692,
25.572,114.49,3.4974,-2.44951,2.49634,0.754062,1,-0.00132604,4.0104,
29.8557,114.49,4.86716,-3.90268,2.90833,0.741705,1,-0.00479824,4.75531,
34.1393,114.49,6.30431,-4.62873,4.28009,0.695202,1,-0.00502827,4.06453,
38.423,114.49,5.80794,-4.28275,3.92303,0.673107,1,-0.00133802,3.72668,
42.7066,114.49,3.33555,-2.71487,1.93787,0.697948,1,0.00344703,4.16721,
46.9902,114.49,1.93621,-1.69612,0.933838,0.735216,1,0.00663741,5.08192,
51.2739,114.49,1.15124,-1.14759,-0.0915527,0.794273,1,0.00568632,4.64011,
55.5575,114.49,0.619975,0.0998769,-0.611877,0.799938,1,0.00515234,4.2247,
59.8411,114.49,1.33953,0.413521,-1.27411,0.762105,1,0.00392116,4.21381,
64.1248,114.49,3.44407,0.685075,-3.37524,0.673603,1,0.00331665,4.08775,
68.4084,114.49,4.65192,1.10142,-4.51965,0.650159,1,0.00597718,3.80331,
72.6921,114.49,5.09834,0.971732,-5.00488,0.615645,1,0.00566522,3.49205,
76.9757,114.49,4.32344,1.93435,-3.86658,0.657712,1,0.00313417,3.00789,
81.2593,114.49,4.20954,2.48662,-3.39661,0.658015,1,0.00407255,3.41434,
85.543,114.49,3.34075,2.55956,-2.14691,0.693053,1,0.00449695,4.35969,
89.8266,114.49,2.47916,2.23799,-1.06659,0.711985,1,0.00358347,4.41004,
94.1103,114.49,2.69838,2.66261,-0.437927,0.636085,1,0.00373209,3.79814,
98.3939,114.49,2.37244,2.36649,0.167847,0.672209,1,0.00299898,4.48305,
102.678,114.49,3.20381,3.17289,0.444031,0.67753,1,0.00353802,4.58997,
106.961,114.49,5.22505,5.22504,0.0106812,0.691754,1,0.00719891,4.03022,
111.245,114.49,5.33045,5.33041,-0.0183105,0.687728,1,0.00827725,4.13987,
115.528,114.49,8.06054,8.05031,0.405884,0.66422,1,0.0153894,4.44672,
119.812,114.49,8.28321,8.28315,0.0320435,0.686816,1,0.0142932,4.06583,
124.096,114.49,9.00749,8.99506,-0.473022,0.700053,1,0.0127826,3.96681,
128.379,114.49,9.83218,9.81037,-0.654602,0.705971,1,0.00685413,3.95574,
132.663,114.49,9.59911,9.54069,-1.05743,0.74408,1,0.00364403,4.66702,
136.947,114.49,10.4241,10.3778,-0.98114,0.805627,1,0.00189409,5.00604,
141.23,114.49,10.6254,10.5923,-0.837708,0.775525,1,0.00146217,4.58727,
145.514,114.49,10.1168,10.0936,-0.68512,0.742041,1,-3.92505e-05,4.18176,
