epoch,loss_total,loss_shape,loss_params,loss_re
1,1.3516470523675284,1.3516470523675284,0.0003252326863973091,1.5731225066714816
2,0.11994421892695957,0.11994421892695957,0.00036386760210411416,1.470297744539049
3,0.04925767836471399,0.04925767836471399,0.0003236307822064393,1.5107571983337402
4,0.02823930756913291,0.02823930756913291,0.000299601405664968,1.5428117921617297
5,0.016585186262511546,0.016585186262511546,0.0002742575397456272,1.5657461833953858
6,0.010688234294454257,0.010688234294454257,0.00025576612511132326,1.586861555311415
7,0.007165559142207106,0.007165559142207106,0.0003905086139113539,1.6132333797878688
8,0.00550290826552858,0.00550290826552858,0.0006528891553170979,1.6307509597142538
9,0.004366451240558591,0.004366451240558591,0.0008866536110225651,1.656164025200738
10,0.0034872852079570293,0.0034872852079570293,0.001277955274304582,1.6683280086517334
11,0.002723001923101644,0.002723001923101644,0.0014625698126231631,1.688155748049418
12,0.002352765060754286,0.002352765060754286,0.0018563387517092956,1.7343462149302165
13,0.001926823572980033,0.001926823572980033,0.0018815786018967628,1.7500692902670967
14,0.0017044335294566634,0.0017044335294566634,0.003124054486138953,1.764724063873291
15,0.0015282124462020067,0.0015282124462020067,0.005085145059145159,1.7747270721859403
16,0.0011553136095042444,0.0011553136095042444,0.007573746281365553,1.8275516515307957
17,0.001095178880625301,0.001095178880625301,0.008898505769256089,1.8096223751703897
18,0.0008801921945996582,0.0008801921945996582,0.010884640158878432,1.852777050866021
19,0.0007858511712402106,0.0007858511712402106,0.012327290351192156,1.8283051310645209
20,0.0007124330499209463,0.0007124330499209463,0.014411484921971958,1.8655058593220182
21,0.0005592448334209621,0.0005592448334209621,0.016346981359852686,1.877703726026747
22,0.000584527727850299,0.000584527727850299,0.01748688105079863,1.8907867760128445
23,0.00046994827325559326,0.00046994827325559326,0.01818878403140439,1.9045924398634169
24,0.00046386698597214286,0.00046386698597214286,0.02071275234222412,1.9122506607903376
25,0.0003942172464707659,0.0003942172464707659,0.02148101582709286,1.9302203178405761
26,0.00044806095564530954,0.00044806095564530954,0.023427217956632374,1.9616947735680474
27,0.0003916385948347549,0.0003916385948347549,0.02358784984383318,1.9591607146792942
28,0.00034031245844542155,0.00034031245844542155,0.024864737060334947,2.004045180744595
29,0.000289576200561391,0.000289576200561391,0.02773926208416621,2.03777977625529
30,0.00024035627203476098,0.00024035627203476098,0.029348416493998632,2.025319530698988
31,0.00024392005373051183,0.00024392005373051183,0.030155970454216002,2.04699049949646
32,0.000294911900224785,0.000294911900224785,0.03393182638618681,2.053111097547743
33,0.00018181519036362362,0.00018181519036362362,0.03333496411641439,2.068883627785577
34,0.00017131707698960478,0.00017131707698960478,0.03476181732283698,2.097461446656121
35,0.00016550596919842064,0.00016550596919842064,0.0376933880481455,2.097511283026801
