speed_level,groups,csvs,u_med,u_mean,speed_mean,corr,peak,flag,Re_u_med,Re_u_mean,Re_speed_mean
5,15,4485,8.77461,8.046369333333333,8.585997155693894,0.7708999563352827,4.097699333333334,1.0000377287304283,700.1125846066429,642.0073861584311,685.0634569625474
10,15,4485,6.80278,6.661528666666666,8.010256802182985,0.7734032822234799,4.108858,1.0002137961390933,542.7833132538517,531.513087447903,639.1260230527936
15,15,4485,5.82054,6.828421333333334,8.068061484263346,0.7668060686662893,4.069239555555556,1.0002641011129976,464.411900153551,544.8291956523583,643.7381693901974
