2026-03-03 00:20:14,195 | INFO | audit | Permutation 44/120 done. iou=0.3642
2026-03-03 00:20:15,143 | INFO | audit | Permutation 45/120 done. iou=0.3693
2026-03-03 00:20:16,117 | INFO | audit | Permutation 46/120 done. iou=0.3655
2026-03-03 00:20:17,119 | INFO | audit | Permutation 47/120 done. iou=0.4009
2026-03-03 00:20:18,099 | INFO | audit | Permutation 48/120 done. iou=0.3556
2026-03-03 00:20:19,080 | INFO | audit | Permutation 49/120 done. iou=0.4363
2026-03-03 00:20:20,068 | INFO | audit | Permutation 50/120 done. iou=0.3313
2026-03-03 00:20:21,016 | INFO | audit | Permutation 51/120 done. iou=0.3702
2026-03-03 00:20:21,985 | INFO | audit | Permutation 52/120 done. iou=0.3424
2026-03-03 00:20:22,973 | INFO | audit | Permutation 53/120 done. iou=0.3727
2026-03-03 00:20:23,938 | INFO | audit | Permutation 54/120 done. iou=0.3944
2026-03-03 00:20:24,875 | INFO | audit | Permutation 55/120 done. iou=0.3653
2026-03-03 00:20:25,809 | INFO | audit | Permutation 56/120 done. iou=0.3840
2026-03-03 00:20:26,745 | INFO | audit | Permutation 57/120 done. iou=0.3404
2026-03-03 00:20:27,720 | INFO | audit | Permutation 58/120 done. iou=0.3265
2026-03-03 00:20:28,740 | INFO | audit | Permutation 59/120 done. iou=0.3574
2026-03-03 00:20:29,687 | INFO | audit | Permutation 60/120 done. iou=0.3770
2026-03-03 00:20:30,638 | INFO | audit | Permutation 61/120 done. iou=0.3398
2026-03-03 00:20:31,568 | INFO | audit | Permutation 62/120 done. iou=0.3456
2026-03-03 00:20:32,495 | INFO | audit | Permutation 63/120 done. iou=0.3527
2026-03-03 00:20:33,436 | INFO | audit | Permutation 64/120 done. iou=0.3198
2026-03-03 00:20:34,422 | INFO | audit | Permutation 65/120 done. iou=0.4344
2026-03-03 00:20:35,395 | INFO | audit | Permutation 66/120 done. iou=0.3691
2026-03-03 00:20:36,346 | INFO | audit | Permutation 67/120 done. iou=0.2986
2026-03-03 00:20:37,261 | INFO | audit | Permutation 68/120 done. iou=0.3588
2026-03-03 00:20:38,210 | INFO | audit | Permutation 69/120 done. iou=0.3017
2026-03-03 00:20:39,154 | INFO | audit | Permutation 70/120 done. iou=0.4041
2026-03-03 00:20:40,103 | INFO | audit | Permutation 71/120 done. iou=0.4094
2026-03-03 00:20:41,042 | INFO | audit | Permutation 72/120 done. iou=0.3558
2026-03-03 00:20:41,997 | INFO | audit | Permutation 73/120 done. iou=0.3536
2026-03-03 00:20:42,974 | INFO | audit | Permutation 74/120 done. iou=0.3559
2026-03-03 00:20:43,895 | INFO | audit | Permutation 75/120 done. iou=0.3737
2026-03-03 00:20:44,846 | INFO | audit | Permutation 76/120 done. iou=0.3175
2026-03-03 00:20:45,771 | INFO | audit | Permutation 77/120 done. iou=0.3493
2026-03-03 00:20:46,741 | INFO | audit | Permutation 78/120 done. iou=0.3979
2026-03-03 00:20:47,710 | INFO | audit | Permutation 79/120 done. iou=0.3788
2026-03-03 00:20:48,626 | INFO | audit | Permutation 80/120 done. iou=0.3877
2026-03-03 00:20:49,540 | INFO | audit | Permutation 81/120 done. iou=0.3346
2026-03-03 00:20:50,477 | INFO | audit | Permutation 82/120 done. iou=0.3411
2026-03-03 00:20:51,471 | INFO | audit | Permutation 83/120 done. iou=0.3498
2026-03-03 00:20:52,394 | INFO | audit | Permutation 84/120 done. iou=0.4168
2026-03-03 00:20:53,398 | INFO | audit | Permutation 85/120 done. iou=0.4366
2026-03-03 00:20:54,404 | INFO | audit | Permutation 86/120 done. iou=0.3602
2026-03-03 00:20:55,350 | INFO | audit | Permutation 87/120 done. iou=0.3808
2026-03-03 00:20:56,329 | INFO | audit | Permutation 88/120 done. iou=0.3833
2026-03-03 00:20:57,275 | INFO | audit | Permutation 89/120 done. iou=0.3469
2026-03-03 00:20:58,261 | INFO | audit | Permutation 90/120 done. iou=0.3924
2026-03-03 00:20:59,232 | INFO | audit | Permutation 91/120 done. iou=0.3960
2026-03-03 00:21:00,182 | INFO | audit | Permutation 92/120 done. iou=0.3280
2026-03-03 00:21:01,124 | INFO | audit | Permutation 93/120 done. iou=0.3870
2026-03-03 00:21:02,084 | INFO | audit | Permutation 94/120 done. iou=0.3632
2026-03-03 00:21:03,072 | INFO | audit | Permutation 95/120 done. iou=0.2882
2026-03-03 00:21:04,024 | INFO | audit | Permutation 96/120 done. iou=0.4199
2026-03-03 00:21:04,975 | INFO | audit | Permutation 97/120 done. iou=0.3262
2026-03-03 00:21:05,970 | INFO | audit | Permutation 98/120 done. iou=0.3698
2026-03-03 00:21:06,912 | INFO | audit | Permutation 99/120 done. iou=0.3492
2026-03-03 00:21:07,856 | INFO | audit | Permutation 100/120 done. iou=0.3646
2026-03-03 00:21:08,828 | INFO | audit | Permutation 101/120 done. iou=0.3789
2026-03-03 00:21:09,769 | INFO | audit | Permutation 102/120 done. iou=0.3625
2026-03-03 00:21:10,782 | INFO | audit | Permutation 103/120 done. iou=0.3748
2026-03-03 00:21:11,760 | INFO | audit | Permutation 104/120 done. iou=0.3470
2026-03-03 00:21:12,727 | INFO | audit | Permutation 105/120 done. iou=0.4175
2026-03-03 00:21:13,672 | INFO | audit | Permutation 106/120 done. iou=0.3781
2026-03-03 00:21:14,587 | INFO | audit | Permutation 107/120 done. iou=0.4639
2026-03-03 00:21:15,606 | INFO | audit | Permutation 108/120 done. iou=0.3271
2026-03-03 00:21:16,698 | INFO | audit | Permutation 109/120 done. iou=0.3642
2026-03-03 00:21:17,694 | INFO | audit | Permutation 110/120 done. iou=0.3755
2026-03-03 00:21:18,724 | INFO | audit | Permutation 111/120 done. iou=0.3990
2026-03-03 00:21:19,691 | INFO | audit | Permutation 112/120 done. iou=0.3850
2026-03-03 00:21:20,674 | INFO | audit | Permutation 113/120 done. iou=0.3790
2026-03-03 00:21:21,637 | INFO | audit | Permutation 114/120 done. iou=0.4243
2026-03-03 00:21:22,595 | INFO | audit | Permutation 115/120 done. iou=0.3401
2026-03-03 00:21:23,613 | INFO | audit | Permutation 116/120 done. iou=0.3952
2026-03-03 00:21:24,644 | INFO | audit | Permutation 117/120 done. iou=0.3900
2026-03-03 00:21:25,632 | INFO | audit | Permutation 118/120 done. iou=0.3260
2026-03-03 00:21:26,653 | INFO | audit | Permutation 119/120 done. iou=0.3277
2026-03-03 00:21:27,683 | INFO | audit | Permutation 120/120 done. iou=0.3707
2026-03-03 00:21:27,912 | INFO | audit | Pattern audit done. obs_iou=0.9382 null_iou_mean=0.3696 p=0.008264 report=/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/reports/pattern_audit.md
2026-03-03 00:28:34,181 | INFO | audit | Permutation 1/60 done. iou=0.3398
2026-03-03 00:28:35,341 | INFO | audit | Permutation 2/60 done. iou=0.3168
2026-03-03 00:28:36,737 | INFO | audit | Permutation 3/60 done. iou=0.3492
2026-03-03 00:28:37,944 | INFO | audit | Permutation 4/60 done. iou=0.3535
2026-03-03 00:28:39,119 | INFO | audit | Permutation 5/60 done. iou=0.3726
2026-03-03 00:28:40,273 | INFO | audit | Permutation 6/60 done. iou=0.3299
2026-03-03 00:28:41,507 | INFO | audit | Permutation 7/60 done. iou=0.3591
2026-03-03 00:28:42,705 | INFO | audit | Permutation 8/60 done. iou=0.3331
2026-03-03 00:28:43,826 | INFO | audit | Permutation 9/60 done. iou=0.3076
2026-03-03 00:28:44,986 | INFO | audit | Permutation 10/60 done. iou=0.3251
2026-03-03 00:28:46,070 | INFO | audit | Permutation 11/60 done. iou=0.2889
2026-03-03 00:28:47,168 | INFO | audit | Permutation 12/60 done. iou=0.3298
2026-03-03 00:28:48,281 | INFO | audit | Permutation 13/60 done. iou=0.3287
2026-03-03 00:28:49,393 | INFO | audit | Permutation 14/60 done. iou=0.3507
2026-03-03 00:28:50,571 | INFO | audit | Permutation 15/60 done. iou=0.3303
2026-03-03 00:28:51,668 | INFO | audit | Permutation 16/60 done. iou=0.3261
2026-03-03 00:28:52,776 | INFO | audit | Permutation 17/60 done. iou=0.3388
2026-03-03 00:28:53,901 | INFO | audit | Permutation 18/60 done. iou=0.3209
2026-03-03 00:28:55,047 | INFO | audit | Permutation 19/60 done. iou=0.2969
2026-03-03 00:28:56,139 | INFO | audit | Permutation 20/60 done. iou=0.3621
2026-03-03 00:28:57,231 | INFO | audit | Permutation 21/60 done. iou=0.3196
2026-03-03 00:28:58,388 | INFO | audit | Permutation 22/60 done. iou=0.3597
2026-03-03 00:28:59,477 | INFO | audit | Permutation 23/60 done. iou=0.3238
2026-03-03 00:29:00,602 | INFO | audit | Permutation 24/60 done. iou=0.3049
2026-03-03 00:29:01,751 | INFO | audit | Permutation 25/60 done. iou=0.3366
2026-03-03 00:29:02,865 | INFO | audit | Permutation 26/60 done. iou=0.3004
2026-03-03 00:29:04,014 | INFO | audit | Permutation 27/60 done. iou=0.3115
2026-03-03 00:29:05,123 | INFO | audit | Permutation 28/60 done. iou=0.3426
2026-03-03 00:29:06,295 | INFO | audit | Permutation 29/60 done. iou=0.3263
2026-03-03 00:29:07,550 | INFO | audit | Permutation 30/60 done. iou=0.3595
2026-03-03 00:29:08,648 | INFO | audit | Permutation 31/60 done. iou=0.3111
2026-03-03 00:29:09,778 | INFO | audit | Permutation 32/60 done. iou=0.3698
2026-03-03 00:29:10,944 | INFO | audit | Permutation 33/60 done. iou=0.3294
2026-03-03 00:29:12,111 | INFO | audit | Permutation 34/60 done. iou=0.3486
2026-03-03 00:29:13,286 | INFO | audit | Permutation 35/60 done. iou=0.3722
2026-03-03 00:29:14,435 | INFO | audit | Permutation 36/60 done. iou=0.2922
2026-03-03 00:29:15,628 | INFO | audit | Permutation 37/60 done. iou=0.2813
2026-03-03 00:29:16,836 | INFO | audit | Permutation 38/60 done. iou=0.3124
2026-03-03 00:29:17,964 | INFO | audit | Permutation 39/60 done. iou=0.2922
2026-03-03 00:29:19,104 | INFO | audit | Permutation 40/60 done. iou=0.3524
2026-03-03 00:29:20,223 | INFO | audit | Permutation 41/60 done. iou=0.3124
2026-03-03 00:29:21,374 | INFO | audit | Permutation 42/60 done. iou=0.3076
2026-03-03 00:29:22,545 | INFO | audit | Permutation 43/60 done. iou=0.3666
2026-03-03 00:29:23,719 | INFO | audit | Permutation 44/60 done. iou=0.3075
2026-03-03 00:29:24,826 | INFO | audit | Permutation 45/60 done. iou=0.3815
2026-03-03 00:29:26,031 | INFO | audit | Permutation 46/60 done. iou=0.3481
2026-03-03 00:29:27,187 | INFO | audit | Permutation 47/60 done. iou=0.3299
2026-03-03 00:29:28,360 | INFO | audit | Permutation 48/60 done. iou=0.3224
2026-03-03 00:29:29,485 | INFO | audit | Permutation 49/60 done. iou=0.2942
2026-03-03 00:29:30,609 | INFO | audit | Permutation 50/60 done. iou=0.3346
2026-03-03 00:29:31,771 | INFO | audit | Permutation 51/60 done. iou=0.3608
2026-03-03 00:29:32,930 | INFO | audit | Permutation 52/60 done. iou=0.3269
2026-03-03 00:29:34,019 | INFO | audit | Permutation 53/60 done. iou=0.3128
2026-03-03 00:29:35,147 | INFO | audit | Permutation 54/60 done. iou=0.3446
2026-03-03 00:29:36,257 | INFO | audit | Permutation 55/60 done. iou=0.3889
2026-03-03 00:29:37,429 | INFO | audit | Permutation 56/60 done. iou=0.3517
2026-03-03 00:29:38,583 | INFO | audit | Permutation 57/60 done. iou=0.2871
2026-03-03 00:29:39,744 | INFO | audit | Permutation 58/60 done. iou=0.3403
2026-03-03 00:29:40,885 | INFO | audit | Permutation 59/60 done. iou=0.3060
2026-03-03 00:29:42,014 | INFO | audit | Permutation 60/60 done. iou=0.3718
2026-03-03 00:29:42,256 | INFO | audit | Pattern audit done. obs_iou=0.9414 null_iou_mean=0.3317 p=0.016393 report=/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/reports/pattern_audit.md
