2026-04-23 13:59:27,692 | INFO | train_wake | Variant full_half_quarter_4ch seed=44 done. acc=0.8333 macro_f1=0.8272 dy_mae=0.02823 eps_mae=0.03365
2026-04-23 13:59:27,693 | INFO | train_wake | Training wake-field variant full_half_quarter_hotspot_4ch with backbone=mae_vit
2026-04-23 14:03:33,299 | INFO | train_wake | Variant full_half_quarter_hotspot_4ch seed=40 done. acc=0.8333 macro_f1=0.8300 dy_mae=0.03619 eps_mae=0.04249
2026-04-23 14:07:38,502 | INFO | train_wake | Variant full_half_quarter_hotspot_4ch seed=41 done. acc=0.7556 macro_f1=0.7468 dy_mae=0.03011 eps_mae=0.04025
2026-04-23 14:11:47,727 | INFO | train_wake | Variant full_half_quarter_hotspot_4ch seed=42 done. acc=0.8111 macro_f1=0.8052 dy_mae=0.02821 eps_mae=0.03857
2026-04-23 14:15:54,446 | INFO | train_wake | Variant full_half_quarter_hotspot_4ch seed=43 done. acc=0.8000 macro_f1=0.7809 dy_mae=0.03022 eps_mae=0.04012
2026-04-23 14:20:03,459 | INFO | train_wake | Variant full_half_quarter_hotspot_4ch seed=44 done. acc=0.7889 macro_f1=0.7758 dy_mae=0.02671 eps_mae=0.03417
2026-04-23 14:20:03,459 | INFO | train_wake | Training wake-field variant full_half_quarter_hotspot_speed with backbone=mae_vit
2026-04-23 14:24:13,248 | INFO | train_wake | Variant full_half_quarter_hotspot_speed seed=40 done. acc=0.4556 macro_f1=0.4100 dy_mae=0.02977 eps_mae=0.03248
2026-04-23 14:28:18,167 | INFO | train_wake | Variant full_half_quarter_hotspot_speed seed=41 done. acc=0.5111 macro_f1=0.5066 dy_mae=0.02274 eps_mae=0.03303
2026-04-23 14:32:19,138 | INFO | train_wake | Variant full_half_quarter_hotspot_speed seed=42 done. acc=0.4556 macro_f1=0.4302 dy_mae=0.03086 eps_mae=0.03682
2026-04-23 14:36:20,563 | INFO | train_wake | Variant full_half_quarter_hotspot_speed seed=43 done. acc=0.3889 macro_f1=0.3415 dy_mae=0.02457 eps_mae=0.03577
2026-04-23 14:40:21,403 | INFO | train_wake | Variant full_half_quarter_hotspot_speed seed=44 done. acc=0.4667 macro_f1=0.4237 dy_mae=0.02576 eps_mae=0.03037
2026-04-23 14:43:49,301 | INFO | train_wake | Leave-one-Re-out main variant Re=100 done. acc=0.7267 macro_f1=0.7159
2026-04-23 14:47:15,320 | INFO | train_wake | Leave-one-Re-out main variant Re=200 done. acc=0.7800 macro_f1=0.7699
2026-04-23 14:50:41,727 | INFO | train_wake | Leave-one-Re-out main variant Re=300 done. acc=0.7400 macro_f1=0.7488
2026-04-23 14:50:41,747 | INFO | train_wake | Wake-field training complete. main_variant=full_half_quarter_hotspot_4ch summary=/mnt/c/Users/chenyihao/Documents/GitHub/fluid-shape-pipeline/reports/wake_field_summary.md
2026-04-23 19:13:14,891 | INFO | train_wake | Training wake-field variant full_only_4ch with backbone=mae_vit
2026-04-23 19:14:33,530 | INFO | train_wake | Variant full_only_4ch seed=40 done. acc=0.7333 macro_f1=0.7320 dy_mae=0.03107 eps_mae=0.03883
2026-04-23 19:15:50,155 | INFO | train_wake | Variant full_only_4ch seed=41 done. acc=0.7444 macro_f1=0.7500 dy_mae=0.03069 eps_mae=0.03618
2026-04-23 19:17:09,321 | INFO | train_wake | Variant full_only_4ch seed=42 done. acc=0.7889 macro_f1=0.7876 dy_mae=0.03337 eps_mae=0.03665
2026-04-23 19:18:27,085 | INFO | train_wake | Variant full_only_4ch seed=43 done. acc=0.8333 macro_f1=0.8277 dy_mae=0.03147 eps_mae=0.03838
2026-04-23 19:19:44,263 | INFO | train_wake | Variant full_only_4ch seed=44 done. acc=0.7667 macro_f1=0.7651 dy_mae=0.02643 eps_mae=0.04017
2026-04-23 19:19:44,264 | INFO | train_wake | Training wake-field variant full_half_quarter_4ch with backbone=mae_vit
2026-04-23 19:22:26,435 | INFO | train_wake | Variant full_half_quarter_4ch seed=40 done. acc=0.8889 macro_f1=0.8866 dy_mae=0.03439 eps_mae=0.04127
2026-04-23 19:23:59,492 | INFO | train_wake | Training wake-field variant dist_only_4ch with backbone=resnet18
2026-04-23 19:24:08,681 | INFO | train_wake | Variant dist_only_4ch seed=40 done. acc=0.8111 macro_f1=0.7872 dy_mae=0.04826 eps_mae=0.04099
2026-04-23 19:24:16,986 | INFO | train_wake | Variant dist_only_4ch seed=41 done. acc=0.9333 macro_f1=0.9327 dy_mae=0.04317 eps_mae=0.04421
2026-04-23 19:24:25,515 | INFO | train_wake | Variant dist_only_4ch seed=42 done. acc=0.7111 macro_f1=0.7101 dy_mae=0.04196 eps_mae=0.05214
2026-04-23 19:24:34,206 | INFO | train_wake | Variant dist_only_4ch seed=43 done. acc=0.9778 macro_f1=0.9778 dy_mae=0.03479 eps_mae=0.04810
2026-04-23 19:24:42,728 | INFO | train_wake | Variant dist_only_4ch seed=44 done. acc=0.8778 macro_f1=0.8650 dy_mae=0.03182 eps_mae=0.05017
2026-04-23 19:24:42,729 | INFO | train_wake | Training wake-field variant dist_multi_4ch with backbone=resnet18
2026-04-23 19:24:56,329 | INFO | train_wake | Variant dist_multi_4ch seed=40 done. acc=0.7444 macro_f1=0.7220 dy_mae=0.03603 eps_mae=0.04487
2026-04-23 19:25:09,793 | INFO | train_wake | Variant dist_multi_4ch seed=41 done. acc=0.7222 macro_f1=0.7033 dy_mae=0.04177 eps_mae=0.05025
2026-04-23 19:25:23,005 | INFO | train_wake | Variant dist_multi_4ch seed=42 done. acc=0.4222 macro_f1=0.3186 dy_mae=0.04992 eps_mae=0.04232
2026-04-23 19:25:35,733 | INFO | train_wake | Variant dist_multi_4ch seed=43 done. acc=0.4778 macro_f1=0.4437 dy_mae=0.04875 eps_mae=0.04520
2026-04-23 19:25:47,784 | INFO | train_wake | Variant dist_multi_4ch seed=44 done. acc=0.3222 macro_f1=0.2417 dy_mae=0.04439 eps_mae=0.04825
2026-04-23 19:28:06,064 | INFO | train_wake | Training wake-field variant dist_single_4ch with backbone=resnet18
2026-04-23 19:28:15,628 | INFO | train_wake | Variant dist_single_4ch seed=40 done. acc=0.9111 macro_f1=0.9116 dy_mae=0.04717 eps_mae=0.03922
2026-04-23 19:28:24,277 | INFO | train_wake | Variant dist_single_4ch seed=41 done. acc=0.9000 macro_f1=0.8974 dy_mae=0.04095 eps_mae=0.05025
2026-04-23 19:28:33,013 | INFO | train_wake | Variant dist_single_4ch seed=42 done. acc=0.8000 macro_f1=0.8031 dy_mae=0.04030 eps_mae=0.05866
2026-04-23 19:28:41,875 | INFO | train_wake | Variant dist_single_4ch seed=43 done. acc=0.9222 macro_f1=0.9213 dy_mae=0.04923 eps_mae=0.05387
2026-04-23 19:28:50,555 | INFO | train_wake | Variant dist_single_4ch seed=44 done. acc=0.8444 macro_f1=0.8449 dy_mae=0.04367 eps_mae=0.04019
2026-04-23 19:28:50,556 | INFO | train_wake | Training wake-field variant dist_multi_4ch with backbone=resnet18
2026-04-23 19:29:04,331 | INFO | train_wake | Variant dist_multi_4ch seed=40 done. acc=0.8222 macro_f1=0.8155 dy_mae=0.04827 eps_mae=0.04219
2026-04-23 19:29:17,872 | INFO | train_wake | Variant dist_multi_4ch seed=41 done. acc=0.8111 macro_f1=0.8081 dy_mae=0.04402 eps_mae=0.04513
2026-04-23 19:29:31,044 | INFO | train_wake | Variant dist_multi_4ch seed=42 done. acc=0.9778 macro_f1=0.9778 dy_mae=0.03637 eps_mae=0.04480
2026-04-23 19:29:43,573 | INFO | train_wake | Variant dist_multi_4ch seed=43 done. acc=0.8778 macro_f1=0.8663 dy_mae=0.03837 eps_mae=0.04912
2026-04-23 19:29:57,009 | INFO | train_wake | Variant dist_multi_4ch seed=44 done. acc=0.9000 macro_f1=0.8960 dy_mae=0.04183 eps_mae=0.04111
