level,n,accuracy,macro_f1
frame,2700.0,0.22518518518518518,0.16014840250412962
sequence_mean_prob,45.0,0.2222222222222222,0.159000999000999
sequence_majority_vote,45.0,0.24444444444444444,0.17191919191919194
