"shape_cn","shape_en","directory","csv_count","size_mb"
"长方","bar","长方-10转速-第1组","299","36.9"
"长方","bar","长方-10转速-第2组","299","36.8"
"长方","bar","长方-10转速-第3组","299","36.82"
"长方","bar","长方-15转速-第1组","299","36.94"
"长方","bar","长方-15转速-第2组","299","36.85"
"长方","bar","长方-15转速-第3组","299","36.73"
"长方","bar","长方-5转速-第1组","299","36.82"
"长方","bar","长方-5转速-第2组","299","36.86"
"长方","bar","长方-5转速-第3组","299","36.76"
