"shape_cn","shape_en","directory","csv_count","size_mb"
"菱形","diamond","菱形-10转速-第1组","299","36.6"
"菱形","diamond","菱形-10转速-第2组","299","36.6"
"菱形","diamond","菱形-10转速-第3组","299","36.76"
"菱形","diamond","菱形-15转速-第1组","299","36.57"
"菱形","diamond","菱形-15转速-第2组","299","36.71"
"菱形","diamond","菱形-15转速-第3组","299","36.63"
"菱形","diamond","菱形-5转速-第1组","299","36.53"
"菱形","diamond","菱形-5转速-第2组","299","36.57"
"菱形","diamond","菱形-5转速-第3组","299","36.5"
