TITLE = "150.csv"
X(mm),Y(mm),Velocity |V|(mm/s),Velocity U(mm/s),Velocity V(mm/s),Correlation Value,Flag,Rotation Tensor(rad),Peak Ratio,
I=57, J=31, K=1,
25.572,131.625,5.74813,5.48342,-1.72424,0.750079,1,0.00339161,3.77692,
29.8557,131.625,8.49733,8.23229,-2.10571,0.719114,1,0.00419916,3.19206,
34.1393,131.625,9.9719,9.24091,-3.74756,0.690666,1,0.00583229,3.96455,
38.423,131.625,10.8895,7.84566,-7.55157,0.687297,1,0.0114396,3.52926,
42.7066,131.625,13.48,9.53302,-9.53064,0.73352,1,0.0107524,3.77284,
46.9902,131.625,15.1668,10.608,-10.8398,0.782426,1,0.00871491,3.73617,
51.2739,131.625,15.2754,11.0236,-10.5743,0.811549,1,0.00417514,3.9019,
55.5575,131.625,14.3999,11.4417,-8.74329,0.752423,1,0.00235699,3.83012,
59.8411,131.625,13.0089,11.8078,-5.45959,0.716722,1,0.00346039,3.49355,
64.1248,131.625,11.172,10.7269,-3.12195,0.729361,1,0.00408855,3.16153,
68.4084,131.625,9.78147,9.6835,-1.38092,0.734708,1,0.00400931,3.20564,
72.6921,131.625,7.43526,7.38,-0.904846,0.679706,1,0.00237225,3.69134,
76.9757,131.625,2.80274,2.57452,-1.10779,0.684306,1,-0.00137388,3.82496,
81.2593,131.625,0.726454,0.694335,-0.213623,0.733324,1,-0.00165127,4.79797,
85.543,131.625,0.729633,0.632834,0.363159,0.792177,1,-0.000549157,5.46742,
89.8266,131.625,1.62275,1.55951,0.448608,0.789826,1,0.00124077,4.41131,
94.1103,131.625,1.18223,1.15802,0.238037,0.820967,1,0.00144877,5.10302,
98.3939,131.625,0.521005,0.400993,0.332642,0.88755,1,0.000580775,5.46037,
102.678,131.625,0.291174,0.289232,-0.0335693,0.889498,1,-4.27474e-05,4.55685,
106.961,131.625,0.604112,0.267444,-0.541687,0.839534,1,0.000992764,4.5977,
111.245,131.625,1.14384,0.726521,-0.883484,0.827234,1,0.00111015,4.86631,
115.528,131.625,1.6124,1.19971,-1.07727,0.789539,1,-0.00113553,4.02819,
119.812,131.625,1.17115,0.821546,-0.834656,0.749565,1,-0.00198504,4.11665,
124.096,131.625,1.48156,1.0007,-1.09253,0.792497,1,-0.00102154,4.51849,
128.379,131.625,0.794351,0.582425,-0.540161,0.815851,1,-0.00139377,5.22841,
132.663,131.625,0.362564,0.277397,0.233459,0.858858,1,-0.0013453,5.2897,
136.947,131.625,0.918324,0.653235,0.645447,0.847335,1,-4.98586e-05,5.6404,
141.23,131.625,1.17826,0.745437,0.912476,0.813993,1,4.99337e-05,5.41232,
145.514,131.625,1.32367,0.195149,1.3092,0.808441,1,-0.00018191,4.80958,
149.798,131.625,1.32523,-0.375021,1.27106,0.84499,1,-0.000544777,5.01639,
154.081,131.625,1.31363,-0.19864,1.29852,0.855709,1,-0.000502065,4.21398,
158.365,131.625,1.92445,-0.0348108,1.92413,0.79229,1,-0.000142568,4.51369,
162.648,131.625,2.14348,-0.288167,2.12402,0.759598,1,-0.000900618,4.02388,
166.932,131.625,2.67335,-0.00601638,2.67334,0.703495,1,-8.88889e-05,4.22267,
171.216,131.625,4.10504,0.78213,4.02985,0.67697,1,0.00105561,3.62407,
175.499,131.625,4.56053,0.283736,4.5517,0.712949,1,-0.000360111,4.03897,
