Re_test,n_test,accuracy,macro_f1,dy_mae,eps_mae,inverse_iou,inverse_dice
100,10,0.2,0.06666666666666667,0.025182321667671204,0.05510919168591499,0.3751745464907186,0.5113770109042979
200,10,0.5,0.42222222222222217,0.0313718318939209,0.03911199793219566,0.3459549916310595,0.4790690262356825
300,10,0.2,0.06666666666666667,0.02918333373963833,0.03485107421875,0.3257485569842748,0.4642863206257524
