perm_idx,iou,dice,miou3
0,0.33951806641007537,0.45455184215876343,0.7720046183931795
1,0.3230080794763894,0.4449819286697174,0.7664940639393755
2,0.38159348980089397,0.49322135285271684,0.7857807086960585
3,0.3441751347564271,0.46698161643406155,0.7735589842236661
4,0.41876553273433786,0.5192418192547192,0.798477968252368
5,0.3838274781789083,0.5034794629658972,0.7872115605436948
6,0.34957797865169254,0.4602362017228823,0.7753365128645466
7,0.41437098137213263,0.530944675392087,0.7969275935156236
8,0.3802930150117917,0.49001810681070285,0.7857259679257341
9,0.31828475222733243,0.43151149457173055,0.7647782259195771
10,0.4291461538983319,0.5411590985110208,0.8021814836737984
11,0.40416575684870154,0.5194573957744328,0.7936678010478259
12,0.34176814163673275,0.46799866089150094,0.7725120834198346
13,0.3936626671024766,0.5126166012625667,0.7902484356000143
14,0.3360982310384562,0.4450778294224798,0.7708717427819598
15,0.37173371356596685,0.4947417362744415,0.7828154374042059
16,0.3469817521707982,0.4628296998079066,0.7745169177546309
17,0.3617284794782298,0.480702073465682,0.7792283586166109
18,0.40076830394887164,0.5044126176080831,0.7927754169822001
19,0.36549042232586954,0.4745942154316311,0.7809948514696833
20,0.3387971587316703,0.44698736838766806,0.7720733971051623
21,0.41642748186540746,0.5302635972112587,0.7976504093852652
22,0.34533770136382613,0.46568371713131973,0.7740677275129324
23,0.3781894971292838,0.4832450258732168,0.7851916104955657
24,0.396562277736822,0.516017526999576,0.7910455769399746
25,0.41428917267665943,0.5256428480276858,0.7969077227064006
26,0.395702768636218,0.5235472479643035,0.7907072107221224
27,0.35172113174763037,0.47553464948109236,0.7761519870944986
28,0.39482671022017474,0.5127864091575177,0.7903520845054535
29,0.3223099435050514,0.4437128290042075,0.7664215526532683
30,0.3652663815293466,0.48882988045503317,0.7807537997663869
31,0.384121888757022,0.5017701659638469,0.7868489256639408
32,0.3621070365578875,0.4704217652192969,0.7788925037946127
33,0.403019152550955,0.5190861258830294,0.7933512844927352
34,0.3498444139514192,0.45934907897556027,0.7754695848052529
35,0.36470052160635813,0.474762574790405,0.7803758343277146
36,0.4284778998494038,0.5353875230862268,0.8018423029364268
37,0.40483984226248965,0.5165115217666609,0.7939889370946698
38,0.33954678933970006,0.4530724561226309,0.7723704868775669
39,0.38607570851788825,0.49738778283105145,0.7877275391909624
40,0.3496670320327137,0.47180855521411913,0.7754882663985421
41,0.3999414199590386,0.5146326609329466,0.7913607937923968
42,0.3373691097942356,0.44565975421846954,0.7710579292895948
43,0.36421753971223786,0.48203997243505575,0.7804624902348596
44,0.3692839234414886,0.49704147378969704,0.7818009061028701
45,0.3655094605946612,0.485781853089562,0.7805743203428478
46,0.400949805098868,0.5143703551742136,0.7924791794580224
47,0.3555591737362648,0.4633824464441929,0.777170250486575
48,0.4362637616313672,0.5503437487997574,0.8043391559145575
49,0.331279771782716,0.4425280246937643,0.7692464257448068
50,0.37019384602523087,0.48201415664450464,0.7823313374806502
51,0.342367702692276,0.4620859082314948,0.7731493606309452
52,0.3726735546432672,0.487807582329986,0.7830981566499039
53,0.3944160293868404,0.5121993377424681,0.7905196827277725
54,0.36525387285357946,0.48139518382496505,0.7807212171408348
