method,n_repeats,mse_mean,mse_std,iou_mean,iou_std,dice_mean,dice_std,miou3_mean,miou3_std,shape_acc_mean,dy_mae_mean,eps_mae_mean,method_rank
parametric_inverse,5,0.00017087673611111112,1.7000930770218606e-05,0.9471596681058445,0.004994007581397121,0.9688809569118509,0.0035867982744471004,0.9773865990657702,0.0019564456115726304,0.9977777777777778,0.0012922337080089302,0.018980775261468578,1
latent_ridge,5,0.0006117927646840422,2.389513405751042e-05,0.41999044349063996,0.02363125048280323,0.5438895988324789,0.020961366167296477,0.7913610726001027,0.007965768023428655,0.0,0.0,0.0,2
