model,n_repeats,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
svc_rbf,5,0.986111111111111,0.012422599874998837,0.9860745663841639,0.012461066623939672
extratrees,5,0.9777777777777779,0.01111111111111112,0.9777519979067966,0.011137466655683574
hard_vote_ensemble,5,0.9777777777777779,0.01111111111111112,0.9777519979067966,0.011137466655683574
rf,5,0.913888888888889,0.0492223476296371,0.9143179952003481,0.04782836689838815
