method,seed,train_size,test_size,mse,iou,dice,shape_acc,dy_mae,eps_mae
latent_ridge,40,288,72,0.0007272800719820014,0.439353327393929,0.5502400988447148,0.0,0.0,0.0
latent_ridge,41,288,72,0.0007176725883523955,0.4184226374394575,0.528689052348869,0.0,0.0,0.0
latent_ridge,42,288,72,0.0007170683312240933,0.4396620843217484,0.5586504497193359,0.0,0.0,0.0
latent_ridge,43,288,72,0.0006769518266816429,0.4456810087585457,0.5641415730738539,0.0,0.0,0.0
latent_ridge,44,288,72,0.0006925401810728782,0.45786504352897645,0.5690282441219083,0.0,0.0,0.0
parametric_inverse,40,288,72,0.00030100504557291667,0.9185192639997225,0.9438532861829181,0.9583333333333334,0.0017207359612200716,0.021941629248850705
parametric_inverse,41,288,72,0.00020152621799045137,0.9413493870481813,0.9636826799137135,0.9861111111111112,0.0015298823187280984,0.018905353315635698
parametric_inverse,42,288,72,0.0002456834581163194,0.9404046851083349,0.962801209869651,0.9861111111111112,0.0018124931142324769,0.023617262497550792
parametric_inverse,43,288,72,0.00026363796657986107,0.9293820912283601,0.953816977872789,0.9722222222222222,0.001761188202720426,0.023663263090278996
parametric_inverse,44,288,72,0.00019995795355902776,0.9402862860908547,0.9603625358410193,0.9861111111111112,0.0013437718599595657,0.016521448914953593
