variant,description,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,re_accuracy_mean,dy_mae_mean,eps_mae_mean,inverse_iou_mean,inverse_dice_mean
dist_multi_4ch,"Multi-distance (0.5h/1.0h/2.0h), all full-height",0.4,0.0,0.2333333333333333,0.0,0.3333333333333333,0.038015469908714294,0.04260794073343277,0.30334054832720553,0.43614831017901456
dist_single_4ch,"Single distance (1.0h), full-height crop",0.2,0.0,0.06666666666666667,0.0,0.3333333333333333,0.038015469908714294,0.038529958575963974,0.26254097913928376,0.3870008598345151
