case_id,shape_true,Re,dy_true,eps_true,iou_obstacle,dice_obstacle,miou3,miou3_fluid,miou3_wall,miou3_obstacle,mse_case,shape_pred,shape_correct,shape_confidence,dy_pred,dy_abs_err,eps_pred,eps_abs_err,eps_sign_correct,dy_std,eps_std
airfoil_Re300_p07,airfoil,300,0.0464312691050797,0.041117019337923,0.14814814814266117,0.2580645161207076,0.7038615058603105,0.9949324324323031,0.9685039370059675,0.14814814814266117,0.003046875,circle,0,0.4081818181818182,0.04396953356577931,0.0024617355393003887,0.012289078760345384,0.028827940577577614,1,0.004608526969844552,0.0280825526978416
airfoil_Re200_p15,airfoil,200,0.0273126919970427,0.0049481152177331,0.6666666664444444,0.79999999984,0.8819015383979001,0.9985691987511708,0.9804687499980851,0.6666666664444444,0.00027160644531249996,airfoil,1,0.8554545454545455,0.028646805388237946,0.0013341133911952477,0.016533555030636082,0.011585439812902982,1,0.0034787061729503513,0.03346049467453946
airfoil_Re200_p25,airfoil,200,0.0372470207634609,-0.0128167295160736,0.6666666664444444,0.79999999984,0.8888454747305916,0.9998697577492837,0.9999999999980469,0.6666666664444444,0.0001220703125,airfoil,1,0.7054545454545454,0.038721845263344296,0.0014748244998833981,-0.00399117453164865,0.00882555498442495,1,0.00429512055323331,0.0394402497375086
airfoil_Re100_p20,airfoil,100,0.0275658080534943,-0.0169897776176614,0.6666666664444444,0.79999999984,0.8888454747305916,0.9998697577492837,0.9999999999980469,0.6666666664444444,0.0001220703125,airfoil,1,0.8209090909090909,0.029288102632492867,0.001722294578998567,-0.017591350714926977,0.0006015730972655786,1,0.004390370550328198,0.034040914548650186
airfoil_Re200_p14,airfoil,200,0.0269572514218995,0.0329724324377254,0.6666666664444444,0.79999999984,0.8888455762707842,0.9998700623699324,0.9999999999979757,0.6666666664444444,0.0001220703125,airfoil,1,0.9254545454545454,0.027532004807433466,0.0005747533855339666,0.03935721183924076,0.006384779401515363,1,0.002782245303663191,0.02008535121950675
airfoil_Re300_p02,airfoil,300,0.0201762351443362,0.0476515432086078,0.7499999998125,0.8571428570204082,0.9013479496164458,0.9970125990387066,0.9570312499981308,0.7499999998125,0.00045104980468750003,airfoil,1,0.7318181818181818,0.017587954789806,0.0025882803545301987,0.010692648134022074,0.03695889507458573,1,0.004252198219454505,0.02735829575469044
airfoil_Re200_p28,airfoil,200,-0.0138017592040023,-0.0053305245976341,0.7499999998125,0.8571428570204082,0.9166232468648591,0.9998697407840301,0.9999999999980469,0.7499999998125,0.0001220703125,airfoil,1,0.9472727272727273,-0.012720969235416532,0.0010807899685857675,0.00592373654267927,0.01125426114031337,0,0.00530846097370202,0.03205629475715682
triangle_Re100_p27,triangle,100,-0.0331430132632729,0.0182449377282966,0.749999999953125,0.8571428571122449,0.9081597222059181,0.9979166666665367,0.9765624999980926,0.749999999953125,0.0006677246093749999,triangle,1,0.9236363636363636,-0.03631843443981295,0.003175421176540044,-0.0029015665381319626,0.021146504266428563,0,0.004572478067074276,0.019106884044985856
square_Re100_p11,square,100,0.0059343659948597,-0.0589872659602931,0.84615384613215,0.9166666666539351,0.9363510320995315,0.9968615143192106,0.966037735847234,0.84615384613215,0.0010015869140625,square,1,0.7454545454545455,0.009601909539828717,0.0036675435449690166,-0.02156833951118111,0.03741892644911199,1,0.0036593623152766045,0.02143914020067688
circle_Re100_p17,circle,100,-0.0439810672464184,-0.0554422936715348,0.8620689654875149,0.9259259259087792,0.9430510879086512,0.9973873285433054,0.9696969696951332,0.8620689654875149,0.0007275390625,circle,1,0.48363636363636364,-0.03948679956877813,0.0044942676776402665,-0.01653376695454994,0.03890852671698486,1,0.0048370356141303195,0.03255481171509938
circle_Re200_p07,circle,200,0.0420362076882149,0.0410980033784624,0.8965517241070154,0.9454545454373554,0.9514973636426824,0.9970028668229088,0.9609374999981232,0.8965517241070154,0.0006652832031249999,circle,1,0.6709090909090909,0.03956044879006101,0.002475758898153893,0.0008121776699698548,0.04028582570849255,1,0.005067234839899203,0.03637034828573482
circle_Re200_p06,circle,200,-0.0091156980242883,-0.0593448998948588,0.8965517241070154,0.9454545454373554,0.953281932170056,0.9972563365559187,0.966037735847234,0.8965517241070154,0.0006353759765625,circle,1,0.8,-0.006162724630486463,0.0029529733938018377,-0.012360103465053684,0.04698479642980512,1,0.005372865713671323,0.03226358493648142
triangle_Re300_p23,triangle,300,-0.02729090338117,0.0315628629225925,0.928571428505102,0.9629629629272977,0.963647609923931,0.9975276512685755,0.9648437499981155,0.928571428505102,0.0003912353515625,triangle,1,0.9945454545454545,-0.029871098169240645,0.0025801947880706444,-0.0024143298183348246,0.03397719274092732,0,0.00469920679049608,0.02741796357030243
triangle_Re200_p21,triangle,200,-0.0129081271976319,-0.0242418442159681,0.928571428505102,0.9629629629272977,0.9747630301946809,0.9996087126645363,0.9961089494144045,0.928571428505102,0.0001519775390625,triangle,1,0.9972727272727273,-0.010370314056934386,0.0025378131406975143,0.0069706308735895854,0.031212475089557684,0,0.00402210619680912,0.030137803787909628
circle_Re200_p08,circle,200,0.0248254986797491,-0.001943411941438,0.931034482726516,0.964285714268495,0.9699790887975822,0.9984340336681458,0.9804687499980851,0.931034482726516,0.00039367675781249996,circle,1,0.600909090909091,0.026424350284373472,0.0015988516046243732,0.016476702127394407,0.018420114068832406,0,0.004006817947860367,0.03492447318934688
circle_Re200_p27,circle,200,-0.0414838543229089,0.0169520325110148,0.931034482726516,0.964285714268495,0.9699790887975822,0.9984340336681458,0.9804687499980851,0.931034482726516,0.00039367675781249996,circle,1,0.8054545454545454,-0.04333090217907019,0.0018470478561612852,-0.01698650480634522,0.03393853731736002,0,0.005475301735924822,0.02044732079327996
triangle_Re100_p00,triangle,100,0.0066615267444921,-0.0594912236205502,0.9333333332711111,0.9655172413460167,0.9656308642429879,0.9975215236106186,0.966037735847234,0.9333333332711111,0.0003912353515625,triangle,1,0.990909090909091,0.009053147920981467,0.0023916211764893674,-0.017701498271205037,0.041789725349345164,1,0.0037172282206724434,0.034258531196758674
triangle_Re200_p26,triangle,200,0.0405282830539294,-0.0553354201844338,0.9333333332711111,0.9655172413460167,0.9669375729427877,0.9977824158621187,0.9696969696951332,0.9333333332711111,0.000361328125,triangle,1,0.9972727272727273,0.04341326827199577,0.00288498521806637,0.001727240270204299,0.0570626604546381,0,0.00417662611689958,0.03444224448786586
triangle_Re300_p20,triangle,300,-0.0347765169612757,0.0213156496594893,0.9374999999414062,0.9677419354526535,0.9653850767482016,0.9972652689150934,0.9613899613881054,0.9374999999414062,0.0004211425781249999,triangle,1,0.9854545454545455,-0.04000596738011,0.005229450418834304,-0.029909956854869992,0.05122560651435929,0,0.006531459854911392,0.023697468019115875
triangle_Re200_p19,triangle,200,0.0283175312791971,-0.0570216476876419,0.9374999999414062,0.9677419354526535,0.9683263653952197,0.9977821265491196,0.9696969696951332,0.9374999999414062,0.000361328125,triangle,1,0.9927272727272727,0.03155273153035621,0.0032352002511591114,-0.01588061371991776,0.041141033967724144,1,0.005029427544299794,0.03200608949176086
triangle_Re300_p13,triangle,300,-0.0034242561560218,-0.0423133865666987,0.9374999999414062,0.9677419354526535,0.9709677385688432,0.9983039791257666,0.9770992366393567,0.9374999999414062,0.00030151367187499997,triangle,1,1.0,-0.0005673390208033364,0.0028569171352184636,0.0075905253573655415,0.049903911924064244,0,0.0044384501465038724,0.028060310527336808
circle_Re300_p12,circle,300,0.0317626006622237,0.0458868309494351,0.9629629629272977,0.9811320754531863,0.9723326202194976,0.9970036477330644,0.9570312499981308,0.9629629629272977,0.00045104980468750003,circle,1,0.7481818181818182,0.028411531892410326,0.003351068769813375,-0.008214452495014348,0.05410128344444945,0,0.004650538997252362,0.03644368372311063
circle_Re100_p20,circle,100,0.0023343022207812,-0.0415845077594257,0.9629629629272977,0.9811320754531863,0.9794545804146927,0.9983015416774237,0.9770992366393567,0.9629629629272977,0.00030151367187499997,circle,1,0.6509090909090909,0.005785285336901352,0.0034509831161201516,0.004074610143045323,0.04565911790247103,0,0.004547754708398313,0.023798279956832733
circle_Re300_p18,circle,300,0.0480505375400027,-0.0372178954961067,0.9629629629272977,0.9811320754531863,0.980789572586871,0.9985628429578,0.9808429118755156,0.9629629629272977,0.00027160644531249996,circle,1,0.8118181818181818,0.045744689625352865,0.002305847914649835,-0.001190776338960152,0.03602711915714655,1,0.004887623283278226,0.03049048967185432
circle_Re200_p25,circle,200,0.0033688023421448,-0.0309885962491158,0.9629629629272977,0.9811320754531863,0.9834884656203101,0.9990854455185525,0.9884169884150803,0.9629629629272977,0.00021179199218749998,circle,1,0.5636363636363636,0.0063405207746200405,0.0029717184324752404,-0.00455852778904661,0.026430068460069192,1,0.004681202025957415,0.026513019276465287
circle_Re100_p29,circle,100,0.0497888974136018,-0.0047902488214306,0.9629629629272977,0.9811320754531863,0.9862266534736691,0.9996080480793049,0.9961089494144045,0.9629629629272977,0.0001519775390625,circle,1,0.6654545454545454,0.045290021175672185,0.004498876237929612,-0.024298221346653125,0.019507972525222524,1,0.005293198064987043,0.02399481556610562
circle_Re200_p29,circle,200,-0.0262984111215851,-0.0427349021221411,0.9642857142512755,0.9818181818003306,0.9798954235447978,0.9983013197437608,0.9770992366393567,0.9642857142512755,0.00030151367187499997,circle,1,0.5209090909090909,-0.025319136317857524,0.0009792748037275763,-0.01936632921405782,0.02336857290808328,1,0.0038572077710958474,0.03078160531186364
circle_Re300_p27,circle,300,-0.0417183467513588,-0.0550712633888808,0.9655172413460167,0.9824561403336411,0.9803347355752906,0.9983006535946407,0.9771863117852145,0.9655172413460167,0.00030151367187499997,circle,1,0.6318181818181818,-0.040003215556654224,0.0017151311947045736,-0.02410652971223477,0.03096473367664603,1,0.005637079118040906,0.02011226943005899
