perm_idx,iou,dice,miou3
0,0.33975764355365745,0.4512310967282586,0.7712319074595988
1,0.3167612358474091,0.43886266346988795,0.7637056748632461
2,0.34918123276396246,0.4740918935179194,0.7741345373129743
3,0.3534978100937868,0.48149389950494087,0.7756319765522567
4,0.3725783777245013,0.5027594676419157,0.7827345994140547
5,0.3298790312178138,0.4597659538321555,0.7680960607058057
6,0.359055815616978,0.4812261012758149,0.7778092964134661
7,0.3330817833880944,0.4496549284386679,0.7692021972927406
8,0.30756536978536814,0.43499071131329,0.7600678298157274
9,0.32505426437801876,0.4605729092794937,0.765658386315347
10,0.28889865320846086,0.4217522695629801,0.7539787088316137
11,0.32981601004386135,0.46472007385001207,0.7676889217151526
12,0.32870404860869934,0.45658376172769355,0.7671536298510977
13,0.3507201279854929,0.47976091592639264,0.7747508276328412
14,0.3302997400396098,0.4662188602360058,0.7678524936194923
15,0.32605707859989913,0.4591505651362674,0.7666027389952638
16,0.33880854647213654,0.46094842902552513,0.7704518733377351
17,0.3209263866756472,0.4531658901966816,0.7645274656705906
18,0.29689181375779566,0.4334910210022468,0.7569828187100577
19,0.3621148583597257,0.49599698725527497,0.778268678440593
20,0.31956257703856467,0.45776768730566103,0.7646083123248941
21,0.3597371201685651,0.48835171751180895,0.7782478634712208
22,0.32379344922679515,0.45366020485517417,0.7659836910666581
23,0.3048566731655244,0.4360623193342925,0.7591662784801657
24,0.33660817616430905,0.46916667430552017,0.7701459802909041
25,0.3003638648998337,0.43127835609039583,0.7582092278902839
26,0.3114541240310583,0.4445384616139778,0.7618367187630964
27,0.34257241416910833,0.46467389712649065,0.7724050943502069
28,0.3263086966360319,0.4497657664163717,0.7663773616950945
29,0.3595294753708045,0.4892155859912669,0.7780822470341693
30,0.3111057322849522,0.44010974945399545,0.7614976629441645
31,0.3697972137268034,0.49821840662399886,0.7813174278349564
32,0.3293954896115733,0.4548338229228749,0.7676490421602659
33,0.34864596727559083,0.4715605362692194,0.77399284616393
34,0.37215598682209666,0.49979248515642083,0.7819902333800386
35,0.292204080701579,0.4181642649838767,0.7555409223609497
36,0.2812502803325083,0.405983629808496,0.751593016823612
37,0.3124014883795001,0.43987879072901626,0.7621780836601209
38,0.2922166735629084,0.41707501856826534,0.7556898398517831
39,0.3524224522211479,0.49146285802034334,0.7751706630941462
40,0.3124022048269164,0.4509668120734279,0.7624512033875647
41,0.30756987621910137,0.43789179027302605,0.7604702809679863
42,0.36664973634308234,0.49775110446919496,0.780169455688736
43,0.30745375471275826,0.4326358944853129,0.760035914732675
44,0.3814852741713578,0.5061187264700072,0.7851582625545548
45,0.34807907147938477,0.48279472264441675,0.773947592295069
46,0.32991069270627615,0.46944059458599474,0.7680746924817734
47,0.32239184740158466,0.45353007177656335,0.7654705820220866
48,0.29421995620173846,0.42277896026770684,0.7557856995030734
49,0.33461285987958334,0.4707759015722949,0.7695727256899212
50,0.36075665582483635,0.48583374968117143,0.7778391518355992
51,0.32689906827161996,0.45978863493250405,0.7670575710971417
52,0.3127992470350967,0.446879085527776,0.7620162285636236
53,0.34457327021042383,0.47878376005936657,0.7728118670797269
54,0.38892800964974306,0.5181334567040483,0.7878118392908496
55,0.35171314915772495,0.47162129179420864,0.7750179588272016
56,0.28711330381857025,0.41133605525966166,0.7534623273451289
57,0.3402507482995287,0.4734459070794686,0.7711571138134348
58,0.30599151863237295,0.44087697670685155,0.759984554234462
59,0.37181625416168074,0.5101076610922386,0.7820874757953553
