case_id,shape_true,Re,dy_true,eps_true,iou_obstacle,dice_obstacle,miou3,miou3_fluid,miou3_wall,miou3_obstacle,mse_case,shape_pred,shape_correct,shape_confidence,dy_pred,dy_abs_err,eps_pred,eps_abs_err,eps_sign_correct,dy_std,eps_std
airfoil_Re300_p02,airfoil,300,0.0220912204055832,0.0552105906458493,0.499999999875,0.6666666665555555,0.8151947580919746,0.9963655244027781,0.949218749998146,0.499999999875,0.0006329345703125,airfoil,1,0.8858333333333334,0.018625908115478894,0.003465312290104307,0.00850512202609859,0.04670546861975071,1,0.005059284219228837,0.03639240267901353
airfoil_Re200_p15,airfoil,200,-0.046653401291628,-0.0106978759836548,0.499999999875,0.6666666665555555,0.8332465051239147,0.9997395154986976,0.9999999999980469,0.499999999875,0.000244140625,airfoil,1,0.9966666666666667,-0.04487176990589969,0.0017816313857283092,0.01025739177222384,0.02095526775587864,0,0.0027614616728011366,0.025605919544000686
airfoil_Re100_p20,airfoil,100,-0.022064249244169,0.0451211279509354,0.6666666664444444,0.79999999984,0.8749587283828651,0.9972720187060279,0.9609374999981232,0.6666666664444444,0.0004211425781249999,airfoil,1,0.9808333333333333,-0.023164307189824408,0.0011000579456554097,-0.008483867516200432,0.05360499546713583,0,0.006102505054996075,0.03746881331955341
airfoil_Re300_p06,airfoil,300,-0.0221390237696395,-0.0424720452913577,0.6666666664444444,0.79999999984,0.8806909179420174,0.9983068507422508,0.9770992366393567,0.6666666664444444,0.00030151367187499997,airfoil,1,0.9833333333333333,-0.020475853662298135,0.0016631701073413635,-0.023159983568218044,0.019312061723139658,1,0.005853833515148359,0.029864951286827687
airfoil_Re100_p07,airfoil,100,0.0122371432890624,0.0117817936744467,0.6666666664444444,0.79999999984,0.8860677647578901,0.9993491278311638,0.9921874999980621,0.6666666664444444,0.00018188476562499997,airfoil,1,0.9841666666666666,0.01280772842690888,0.000570585137846481,0.008135524511714877,0.0036462691627318234,1,0.00387916721912949,0.029336055649167428
airfoil_Re100_p19,airfoil,100,-0.0295469139693812,-0.0308965664004158,0.6666666664444444,0.79999999984,0.8860977592642748,0.9993486190723033,0.9922779922760767,0.6666666664444444,0.00018188476562499997,airfoil,1,0.9775,-0.028031130015240605,0.001515783954140596,-0.023793740733391286,0.007102825667024516,1,0.004739892382740043,0.0300667248872567
airfoil_Re200_p28,airfoil,200,-0.0446256554556893,0.0191625419820916,0.6666666664444444,0.79999999984,0.887425550280566,0.999609984399246,0.995999999998008,0.6666666664444444,0.0001519775390625,airfoil,1,0.9758333333333333,-0.043831131256498575,0.0007945241991907243,0.022965300017481878,0.0038027580353902773,1,0.0020223848344044634,0.01956828298480535
airfoil_Re200_p09,airfoil,200,-0.0124319451934514,0.0230510804527566,0.7499999998125,0.8571428570204082,0.9096282390996758,0.9985697568585361,0.9803149606279915,0.7499999998125,0.00027160644531249996,airfoil,1,0.9691666666666666,-0.01346454266648421,0.0010325974730328088,0.01192310062746525,0.01112797982529135,1,0.0035387732743618026,0.02992154146905245
airfoil_Re200_p27,airfoil,200,0.0034494589985298,-0.0274729671477349,0.7499999998125,0.8571428570204082,0.9125311523631318,0.9990877101523524,0.9885057471245431,0.7499999998125,0.00021179199218749998,airfoil,1,1.0,0.0036265849970716557,0.00017712599854185574,-0.038789480010929946,0.011316512863195044,1,0.003975494274093965,0.029092211102039068
airfoil_Re200_p14,airfoil,200,-0.0476603621818839,-0.0252763115333301,0.7499999998125,0.8571428570204082,0.9152393905264186,0.9996092223523512,0.9961089494144045,0.7499999998125,0.0001519775390625,airfoil,1,0.9616666666666667,-0.045734766446797095,0.001925595735086806,-0.0008969033036879907,0.02437940822964211,1,0.0027854075469543396,0.024476105341647753
triangle_Re200_p13,triangle,200,-0.0004367225295334,-0.0539630059643928,0.8124999999492187,0.8965517241070154,0.9278889118217557,0.9977827050996481,0.9733840304164004,0.8124999999492187,0.0005755615234375,triangle,1,0.99,0.001922354958471439,0.002359077488004839,-0.02240971090087073,0.03155329506352207,1,0.004308626554762019,0.02664824640585694
diamond_Re100_p08,diamond,100,-0.0114506076554161,0.0415668128379275,0.8666666666088889,0.9285714285382654,0.9415807306147653,0.997138025237284,0.9609374999981232,0.8666666666088889,0.0005432128906249999,diamond,1,0.9983333333333333,-0.013627726720738116,0.002177119065322017,0.007426683988176248,0.034140128849751254,1,0.005097561844376472,0.032989879075460346
diamond_Re100_p27,diamond,100,0.0289105083831053,-0.0078759499058044,0.8666666666088889,0.9285714285382654,0.9554686027944167,0.9997391417763141,0.9999999999980469,0.8666666666088889,0.000244140625,diamond,1,0.9975,0.0297783457064158,0.0008678373233104997,-0.0014819934301948127,0.006393956475609587,1,0.005039960814752506,0.033608155941850265
diamond_Re300_p13,diamond,300,0.0052792430971667,0.0579758497839939,0.928571428505102,0.9629629629272977,0.9675628238029851,0.9983105912929177,0.9758064516109359,0.928571428505102,0.00030151367187499997,diamond,1,0.985,0.003560438880589154,0.0017188042165775463,0.026296984193224984,0.03167886559076892,1,0.004385808277663957,0.027271365086924
diamond_Re200_p15,diamond,200,0.0465366351970872,0.0424773765978408,0.928571428505102,0.9629629629272977,0.9732854878547537,0.9993495511901913,0.9919354838689679,0.928571428505102,0.00018188476562499997,diamond,1,0.9916666666666667,0.046170108796831706,0.0003665264002554944,0.0287460560782642,0.013731320519576602,1,0.0038204888089707215,0.028553407408422632
