epoch,loss_total,loss_shape,loss_params,loss_re
1,1.4204244569937388,1.350771227147844,0.0003253437322564423,1.3930647447374132
2,0.1783929004934099,0.12108889679114024,0.000360346340522584,1.1460800541771783
3,0.10648179799318314,0.050308094157112966,0.00040405080679597127,1.123474046919081
4,0.0845801333586375,0.02897199821141031,0.0011603525550001198,1.1121626912222968
5,0.07240080096655421,0.01758713833366831,0.0017117753035078445,1.0962732484605577
6,0.06552281919452879,0.01133198613818321,0.0021376203114373818,1.0838166538874308
7,0.06209239423274994,0.007839813518027464,0.001894433297113412,1.0850515964296128
8,0.05951336446735594,0.00627133585823079,0.002964188857521448,1.0648405657874214
9,0.058357714464267095,0.00507524190004915,0.0036769240204658775,1.0656494363149007
10,0.05689976019991769,0.004367320746597316,0.0046663782331678606,1.05064877404107
11,0.05509958303636975,0.0035845501275940076,0.006409571841359139,1.0303006347020467
12,0.05507763352659013,0.0032774612025564744,0.007725850568256445,1.0360034306844075
13,0.053481435941325296,0.0026267073029238317,0.008929014291174504,1.0170945580800375
14,0.052177305238114466,0.0024812060240138735,0.010409959169725577,0.9939219654930962
15,0.051117742674218286,0.0024285993073135614,0.011170633443527752,0.973782851960924
16,0.050756719244851006,0.0019901971415513093,0.013216676202913126,0.975330425898234
17,0.048983847631348505,0.001977676418609917,0.013729770551953051,0.9401234091652764
18,0.047934071868658064,0.0017712442305249472,0.015805645684401196,0.9232565384440952
19,0.04652911941210429,0.001580164643108017,0.017226214599278238,0.8989790831671821
20,0.046188232219881484,0.0014636138974068065,0.019607755225151777,0.8944923469755385
21,0.04446218305163913,0.0011999844041808197,0.02069178805583053,0.8652439599566989
22,0.04358197995358043,0.0013163860488889945,0.023370099580950206,0.8453118628925748
23,0.04234133889277776,0.0011510196258313955,0.024617996489008268,0.8238063764572143
24,0.041293119978573586,0.0011496447670894365,0.02760460824188259,0.8028694889280531
25,0.04062155831191275,0.0010353453188306756,0.02913856726553705,0.7917242452833387
26,0.03983169244395362,0.001278724220270912,0.03303843263122771,0.7710593536165026
27,0.038579129576683045,0.0012062348989355896,0.03234520754880375,0.74745787302653
28,0.037014589243465,0.001048059553787526,0.035672917755113706,0.719330582883623
29,0.0362852860821618,0.0009605471929535269,0.03863557532429695,0.7064947621027629
30,0.03326199197106891,0.0008083575130957696,0.04158549126651552,0.6490726795461442
31,0.03303620083464517,0.0007300006254162226,0.045919912788603044,0.6461239896880255
32,0.03136665989955267,0.0009318344696657732,0.04671116785870658,0.6086964972813924
33,0.030029038257069058,0.0007493429874820221,0.04619153269463115,0.5855938980314467
34,0.02977078142265479,0.000908597414705178,0.050032005624638665,0.5772436708874172
35,0.02739845226208369,0.0007063052332442667,0.055600725875960454,0.5338429325156742
