epoch,phase,loss_total,loss_shape,loss_params,loss_re,val_loss
48,finetune,8.551645298414062e-06,8.551645298414062e-06,7.018326369391548,0.0,0.9590125774768532
49,finetune,8.073010685620829e-06,8.073010685620829e-06,7.101858139038086,0.0,0.962548373146357
50,finetune,8.620599366824737e-06,8.620599366824737e-06,7.066238191392687,0.0,0.9574331715813317
51,finetune,7.109682027375028e-06,7.109682027375028e-06,7.195008608500163,0.0,0.9526855587835037
52,finetune,6.998035239828621e-06,6.998035239828621e-06,7.110658128526476,0.0,0.9488823480513313
53,finetune,7.1268663254563255e-06,7.1268663254563255e-06,7.222939724392361,0.0,0.9423373423564337
54,finetune,5.7681211607511314e-06,5.7681211607511314e-06,7.288336804707845,0.0,0.941857015725995
55,finetune,6.721730531151277e-06,6.721730531151277e-06,7.365258568657769,0.0,0.948132999145357
56,finetune,6.386898710641415e-06,6.386898710641415e-06,7.453312725490994,0.0,0.9516427196960376
57,finetune,6.557628815547408e-06,6.557628815547408e-06,7.42674917432997,0.0,0.9483435689085056
58,finetune,5.670945334309686e-06,5.670945334309686e-06,7.430667101542155,0.0,0.9519003617401421
59,finetune,5.672338765078975e-06,5.672338765078975e-06,7.433840721978082,0.0,0.9529635545524214
60,finetune,5.56251109931812e-06,5.56251109931812e-06,7.506751327514649,0.0,0.9556296910216571
61,finetune,5.709200411527288e-06,5.709200411527288e-06,7.5679185443454315,0.0,0.958888729132709
62,finetune,4.50794506832608e-06,4.50794506832608e-06,7.558953412373861,0.0,0.9582043478098323
63,finetune,4.989874637431057e-06,4.989874637431057e-06,7.626972927517361,0.0,0.9563358365472078
64,finetune,5.844017390093844e-06,5.844017390093844e-06,7.563503197564019,0.0,0.9437353591199611
65,finetune,5.7752202802577005e-06,5.7752202802577005e-06,7.538899408976237,0.0,0.9456552486481854
66,finetune,4.555623914812815e-06,4.555623914812815e-06,7.624996248881022,0.0,0.9464374807594664
67,finetune,4.687477203080764e-06,4.687477203080764e-06,7.585541763305664,0.0,0.947450015065161
68,finetune,4.885664038738469e-06,4.885664038738469e-06,7.5259977255927195,0.0,0.9481793720881129
69,finetune,5.889242613900731e-06,5.889242613900731e-06,7.676037777794732,0.0,0.9537861007135566
70,finetune,4.652023055453153e-06,4.652023055453153e-06,7.6904580518934464,0.0,0.9549190926741963
71,finetune,5.453082562275489e-06,5.453082562275489e-06,7.670780058966742,0.0,0.9556048984678494
72,finetune,6.1791120535619685e-06,6.1791120535619685e-06,7.532255634731716,0.0,0.9553881696663523
73,finetune,6.3596543380602575e-06,6.3596543380602575e-06,7.658436584472656,0.0,0.9541290164333278
74,finetune,4.508772695367548e-06,4.508772695367548e-06,7.546765869988335,0.0,0.9541862339903531
75,finetune,4.935008348386165e-06,4.935008348386165e-06,7.590004829830593,0.0,0.9542144103162696
